Participant_ID,Age,Gender,Grade,Testing_Channel,Memory_Type,Sensitivity,Trust_Item1,Trust_Item2,Trust_Item3
79,20,Female,Year 2,Online/network test,No Memory,Low Sensitivity,4,4,4
80,21,Male,Year 1,Campus session,No Memory,Low Sensitivity,3,4,4
81,21,Male,Year 1,Campus session,No Memory,Low Sensitivity,5,5,5
82,19,Female,Year 1,Online/network test,No Memory,Low Sensitivity,6,5,6
83,21,Female,Year 3,Online/network test,No Memory,Low Sensitivity,6,6,5
84,48,Female,Resident,Campus resident session,No Memory,Low Sensitivity,6,5,5
85,32,Female,Resident,Campus resident session,No Memory,Low Sensitivity,4,4,3
86,21,Male,Year 3,Campus session,No Memory,Low Sensitivity,4,4,4
87,18,Male,Year 2,Campus session,No Memory,Low Sensitivity,5,5,4
88,43,Male,Resident,Campus resident session,No Memory,Low Sensitivity,5,4,5
89,20,Male,Year 2,Online/network test,No Memory,Low Sensitivity,5,6,6
90,20,Female,Year 2,Online/network test,No Memory,Low Sensitivity,4,4,3
91,19,Male,Year 1,Campus session,No Memory,Low Sensitivity,6,6,5
92,18,Female,Year 1,Campus session,No Memory,Low Sensitivity,2,1,3
93,18,Female,Year 1,Online/network test,No Memory,Low Sensitivity,3,4,4
94,18,Female,Year 1,Online/network test,No Memory,Low Sensitivity,3,4,5
95,19,Female,Year 2,Online/network test,No Memory,Low Sensitivity,5,4,3
96,20,Male,Year 2,Online/network test,No Memory,Low Sensitivity,6,6,5
97,23,Female,Year 2,Online/network test,No Memory,Low Sensitivity,5,4,4
98,20,Female,Year 3,Online/network test,No Memory,Low Sensitivity,3,5,5
99,19,Female,Year 3,Campus session,No Memory,Low Sensitivity,6,4,5
100,24,Male,Year 1,Online/network test,No Memory,Low Sensitivity,6,3,4
101,19,Female,Year 1,Campus session,No Memory,Low Sensitivity,6,5,5
102,19,Male,Year 1,Campus session,No Memory,Low Sensitivity,4,4,5
103,22,Male,Year 2,Online/network test,No Memory,Low Sensitivity,6,4,4
104,20,Female,Year 2,Campus session,No Memory,Low Sensitivity,4,3,6
105,19,Female,Year 2,Online/network test,No Memory,Low Sensitivity,3,4,4
106,21,Male,Year 1,Campus session,No Memory,Low Sensitivity,5,5,4
107,19,Female,Year 1,Campus session,No Memory,Low Sensitivity,4,4,4
108,18,Female,Year 2,Campus session,No Memory,Low Sensitivity,5,4,4
109,21,Female,Year 3,Campus session,No Memory,Low Sensitivity,6,6,7
110,18,Female,Year 3,Online/network test,No Memory,Low Sensitivity,3,4,4
111,21,Female,Year 1,Campus session,No Memory,Low Sensitivity,4,5,4
112,20,Male,Year 2,Campus session,No Memory,Low Sensitivity,6,4,5
113,20,Female,Year 2,Campus session,No Memory,Low Sensitivity,5,6,5
114,20,Male,Year 3,Campus session,No Memory,Low Sensitivity,5,5,5
115,18,Female,Year 3,Campus session,No Memory,Low Sensitivity,3,4,3
116,21,Female,Year 1,Campus session,No Memory,Low Sensitivity,4,5,5
117,20,Female,Year 2,Campus session,No Memory,Low Sensitivity,5,4,4
118,22,Female,Year 2,Campus session,No Memory,Low Sensitivity,6,7,6
119,22,Female,Year 2,Online/network test,No Memory,Low Sensitivity,4,3,4
120,53,Female,Resident,Campus resident session,No Memory,Low Sensitivity,4,4,5
121,29,Male,Resident,Campus resident session,No Memory,Low Sensitivity,7,6,6
122,20,Female,Year 2,Campus session,No Memory,Low Sensitivity,4,6,5
123,44,Male,Resident,Campus resident session,No Memory,Low Sensitivity,6,6,5
124,18,Male,Year 3,Campus session,No Memory,Low Sensitivity,6,3,5
125,21,Female,Year 2,Online/network test,No Memory,Low Sensitivity,7,5,6
126,20,Female,Year 3,Online/network test,No Memory,Low Sensitivity,3,3,2
127,44,Female,Resident,Campus resident session,No Memory,Low Sensitivity,4,3,3
128,18,Female,Year 3,Campus session,No Memory,Low Sensitivity,4,3,5
129,46,Male,Resident,Campus resident session,No Memory,Low Sensitivity,4,4,3
130,21,Prefer not to say,Year 2,Online/network test,No Memory,Low Sensitivity,5,4,3
131,20,Male,Year 3,Campus session,No Memory,Low Sensitivity,3,4,3
132,19,Female,Year 1,Online/network test,No Memory,Low Sensitivity,4,5,5
133,32,Female,Resident,Campus resident session,No Memory,Low Sensitivity,3,3,4
134,19,Male,Year 2,Online/network test,No Memory,Low Sensitivity,7,7,7
135,18,Female,Year 1,Online/network test,No Memory,Low Sensitivity,4,5,5
136,20,Male,Year 3,Online/network test,No Memory,Low Sensitivity,5,5,6
137,19,Female,Year 2,Online/network test,No Memory,Low Sensitivity,3,5,4
138,20,Female,Year 2,Online/network test,No Memory,Low Sensitivity,3,3,5
139,31,Male,Resident,Campus resident session,Relevant Memory,Low Sensitivity,4,4,5
140,20,Female,Year 3,Campus session,Relevant Memory,Low Sensitivity,7,7,6
141,19,Male,Year 3,Campus session,Relevant Memory,Low Sensitivity,5,6,5
142,21,Female,Year 2,Online/network test,Relevant Memory,Low Sensitivity,4,3,3
143,46,Male,Resident,Campus resident session,Relevant Memory,Low Sensitivity,5,6,6
144,20,Female,Year 1,Campus session,Relevant Memory,Low Sensitivity,6,5,5
145,44,Female,Resident,Campus resident session,Relevant Memory,Low Sensitivity,6,7,6
146,20,Male,Year 2,Online/network test,Relevant Memory,Low Sensitivity,5,4,4
147,43,Female,Resident,Campus resident session,Relevant Memory,Low Sensitivity,6,5,7
148,19,Female,Year 3,Campus session,Relevant Memory,Low Sensitivity,3,5,4
149,18,Female,Year 2,Campus session,Relevant Memory,Low Sensitivity,5,5,5
150,44,Female,Resident,Campus resident session,Relevant Memory,Low Sensitivity,5,3,5
151,35,Female,Resident,Campus resident session,Relevant Memory,Low Sensitivity,5,6,5
152,20,Female,Year 1,Campus session,Relevant Memory,Low Sensitivity,6,6,5
153,18,Male,Year 1,Online/network test,Relevant Memory,Low Sensitivity,6,7,5
154,43,Female,Resident,Campus resident session,Relevant Memory,Low Sensitivity,7,7,6
155,44,Male,Resident,Campus resident session,Relevant Memory,Low Sensitivity,5,5,5
156,21,Male,Year 2,Online/network test,Relevant Memory,Low Sensitivity,4,3,5
157,19,Male,Year 1,Campus session,Relevant Memory,Low Sensitivity,6,5,6
158,20,Female,Year 3,Campus session,Relevant Memory,Low Sensitivity,6,5,6
159,19,Prefer not to say,Year 3,Campus session,Relevant Memory,Low Sensitivity,6,3,3
160,19,Male,Year 2,Online/network test,Relevant Memory,Low Sensitivity,6,6,7
161,36,Male,Resident,Campus resident session,Relevant Memory,Low Sensitivity,6,7,6
162,19,Female,Year 3,Campus session,Relevant Memory,Low Sensitivity,4,4,4
163,18,Male,Year 2,Campus session,Relevant Memory,Low Sensitivity,6,6,4
164,56,Male,Resident,Campus resident session,Relevant Memory,Low Sensitivity,6,7,6
165,20,Female,Year 3,Campus session,Relevant Memory,Low Sensitivity,4,5,4
166,20,Female,Year 2,Online/network test,Relevant Memory,Low Sensitivity,5,6,6
167,45,Male,Resident,Campus resident session,Relevant Memory,Low Sensitivity,5,4,4
168,21,Male,Year 1,Campus session,Relevant Memory,Low Sensitivity,5,5,5
169,32,Female,Resident,Campus resident session,Relevant Memory,Low Sensitivity,5,5,4
170,20,Male,Year 1,Online/network test,Relevant Memory,Low Sensitivity,5,5,4
171,18,Female,Year 2,Campus session,Relevant Memory,Low Sensitivity,4,5,5
172,19,Female,Year 3,Campus session,Relevant Memory,Low Sensitivity,3,4,5
173,47,Female,Resident,Campus resident session,Relevant Memory,Low Sensitivity,5,4,4
174,35,Male,Resident,Campus resident session,Relevant Memory,Low Sensitivity,6,5,6
175,21,Female,Year 2,Online/network test,Relevant Memory,Low Sensitivity,6,5,7
176,20,Male,Year 1,Campus session,Relevant Memory,Low Sensitivity,6,6,5
177,20,Female,Year 2,Campus session,Relevant Memory,Low Sensitivity,5,6,5
178,19,Female,Year 3,Online/network test,Relevant Memory,Low Sensitivity,5,7,6
179,19,Female,Year 2,Online/network test,Relevant Memory,Low Sensitivity,4,5,5
180,21,Female,Year 2,Online/network test,Relevant Memory,Low Sensitivity,3,4,5
181,20,Female,Year 1,Online/network test,Relevant Memory,Low Sensitivity,5,5,5
182,22,Male,Year 3,Campus session,Relevant Memory,Low Sensitivity,5,4,4
183,48,Female,Resident,Campus resident session,Relevant Memory,Low Sensitivity,3,4,4
184,22,Male,Year 3,Campus session,Relevant Memory,Low Sensitivity,6,7,7
185,51,Female,Resident,Campus resident session,Relevant Memory,Low Sensitivity,4,5,4
186,19,Female,Year 1,Campus session,Relevant Memory,Low Sensitivity,6,5,5
187,20,Female,Year 2,Campus session,Relevant Memory,Low Sensitivity,4,6,5
188,19,Male,Year 3,Online/network test,Relevant Memory,Low Sensitivity,5,4,4
189,35,Female,Resident,Campus resident session,Relevant Memory,Low Sensitivity,6,7,7
190,23,Female,Year 1,Campus session,Relevant Memory,Low Sensitivity,7,7,6
191,18,Male,Year 3,Campus session,Relevant Memory,Low Sensitivity,5,6,5
192,20,Female,Year 2,Campus session,Relevant Memory,Low Sensitivity,3,2,4
193,19,Male,Year 2,Online/network test,Relevant Memory,Low Sensitivity,5,5,5
194,18,Prefer not to say,Year 2,Campus session,Relevant Memory,Low Sensitivity,5,3,4
195,21,Female,Year 1,Online/network test,Relevant Memory,Low Sensitivity,6,5,6
196,18,Female,Year 1,Online/network test,Relevant Memory,Low Sensitivity,6,7,7
197,20,Female,Year 3,Campus session,Relevant Memory,Low Sensitivity,6,6,5
198,20,Female,Year 2,Campus session,Relevant Memory,Low Sensitivity,6,7,5
199,19,Male,Year 3,Online/network test,Relevant Memory,Low Sensitivity,6,6,4
200,18,Female,Year 3,Campus session,Relevant Memory,Low Sensitivity,5,3,4
201,20,Female,Year 1,Online/network test,Relevant Memory,Low Sensitivity,7,5,3
202,22,Female,Year 2,Campus session,Relevant Memory,Low Sensitivity,7,5,7
203,49,Male,Resident,Campus resident session,Relevant Memory,Low Sensitivity,4,3,2
204,20,Female,Year 2,Campus session,Relevant Memory,Low Sensitivity,4,4,4
205,21,Female,Year 2,Online/network test,Relevant Memory,Low Sensitivity,3,3,3
206,19,Female,Year 1,Campus session,Intrusive Memory,High Sensitivity,6,6,6
207,24,Male,Year 2,Campus session,Intrusive Memory,High Sensitivity,1,3,1
208,45,Female,Resident,Campus resident session,Intrusive Memory,High Sensitivity,1,1,1
209,20,Male,Year 2,Campus session,Intrusive Memory,High Sensitivity,4,5,4
210,20,Male,Year 2,Campus session,Intrusive Memory,High Sensitivity,3,5,4
211,48,Female,Resident,Campus resident session,Intrusive Memory,High Sensitivity,3,2,3
212,19,Male,Year 1,Campus session,Intrusive Memory,High Sensitivity,3,4,2
213,20,Male,Year 1,Campus session,Intrusive Memory,High Sensitivity,2,2,2
214,21,Female,Year 1,Campus session,Intrusive Memory,High Sensitivity,2,2,2
215,21,Female,Year 2,Online/network test,Intrusive Memory,High Sensitivity,4,5,4
216,21,Male,Year 1,Online/network test,Intrusive Memory,High Sensitivity,3,3,5
217,20,Female,Year 2,Campus session,Intrusive Memory,High Sensitivity,3,2,4
218,18,Male,Year 2,Campus session,Intrusive Memory,High Sensitivity,3,1,4
219,20,Male,Year 3,Campus session,Intrusive Memory,High Sensitivity,5,5,4
220,58,Male,Resident,Campus resident session,Intrusive Memory,High Sensitivity,4,5,4
221,20,Female,Year 1,Online/network test,Intrusive Memory,High Sensitivity,4,5,5
222,40,Female,Resident,Campus resident session,Intrusive Memory,High Sensitivity,3,2,3
223,20,Female,Year 3,Campus session,Intrusive Memory,High Sensitivity,3,3,4
224,20,Female,Year 1,Online/network test,Intrusive Memory,High Sensitivity,2,2,2
225,22,Female,Year 1,Campus session,Intrusive Memory,High Sensitivity,4,2,2
226,36,Male,Resident,Campus resident session,Intrusive Memory,High Sensitivity,5,4,4
227,19,Female,Year 1,Online/network test,Intrusive Memory,High Sensitivity,6,7,7
228,36,Male,Resident,Campus resident session,Intrusive Memory,High Sensitivity,4,3,3
229,22,Female,Year 1,Campus session,Intrusive Memory,High Sensitivity,4,3,3
230,22,Male,Year 3,Online/network test,Intrusive Memory,High Sensitivity,3,3,2
231,19,Male,Year 2,Campus session,Intrusive Memory,High Sensitivity,4,4,5
232,21,Male,Year 1,Online/network test,Intrusive Memory,High Sensitivity,3,2,1
233,35,Female,Resident,Campus resident session,Intrusive Memory,High Sensitivity,5,4,5
234,21,Female,Year 1,Online/network test,Intrusive Memory,High Sensitivity,5,4,4
235,21,Male,Year 1,Online/network test,Intrusive Memory,High Sensitivity,2,2,2
236,20,Female,Year 2,Online/network test,Intrusive Memory,High Sensitivity,6,5,5
237,20,Male,Year 2,Campus session,Intrusive Memory,High Sensitivity,6,5,6
238,41,Female,Resident,Campus resident session,Intrusive Memory,High Sensitivity,3,3,3
239,20,Male,Year 1,Campus session,Intrusive Memory,High Sensitivity,4,3,4
240,22,Female,Year 1,Online/network test,Intrusive Memory,High Sensitivity,3,4,3
241,19,Female,Year 1,Campus session,Intrusive Memory,High Sensitivity,3,2,3
242,21,Female,Year 3,Campus session,Intrusive Memory,High Sensitivity,4,4,4
243,20,Male,Year 3,Online/network test,Intrusive Memory,High Sensitivity,4,5,3
244,21,Female,Year 2,Campus session,Intrusive Memory,High Sensitivity,2,2,3
245,20,Female,Year 3,Campus session,Intrusive Memory,High Sensitivity,2,2,2
246,19,Male,Year 2,Online/network test,Intrusive Memory,High Sensitivity,4,3,3
247,21,Female,Year 2,Campus session,Intrusive Memory,High Sensitivity,2,3,2
248,19,Prefer not to say,Year 1,Online/network test,Intrusive Memory,High Sensitivity,2,3,3
249,19,Female,Year 1,Campus session,Intrusive Memory,High Sensitivity,3,4,2
250,19,Female,Year 1,Online/network test,Intrusive Memory,High Sensitivity,4,3,3
251,44,Male,Resident,Campus resident session,Intrusive Memory,High Sensitivity,3,5,4
252,21,Male,Year 2,Campus session,Intrusive Memory,High Sensitivity,5,6,6
253,44,Male,Resident,Campus resident session,Intrusive Memory,High Sensitivity,3,2,2
254,21,Male,Year 1,Online/network test,Intrusive Memory,High Sensitivity,4,5,6
255,48,Female,Resident,Campus resident session,Intrusive Memory,High Sensitivity,2,3,2
256,42,Female,Resident,Campus resident session,Intrusive Memory,High Sensitivity,2,4,4
257,20,Female,Year 3,Campus session,Intrusive Memory,High Sensitivity,4,4,6
258,21,Male,Year 1,Online/network test,Intrusive Memory,High Sensitivity,6,5,6
259,18,Female,Year 1,Campus session,Intrusive Memory,High Sensitivity,1,2,2
260,54,Male,Resident,Campus resident session,Intrusive Memory,High Sensitivity,5,4,5
261,39,Female,Resident,Campus resident session,Intrusive Memory,High Sensitivity,2,4,3
262,20,Male,Year 2,Campus session,Intrusive Memory,High Sensitivity,3,4,4
263,19,Male,Year 2,Campus session,Intrusive Memory,High Sensitivity,5,5,4
264,19,Male,Year 2,Campus session,Intrusive Memory,High Sensitivity,7,5,5
265,20,Female,Year 2,Online/network test,Intrusive Memory,High Sensitivity,6,7,6
266,21,Female,Year 2,Campus session,Intrusive Memory,High Sensitivity,5,4,3
267,22,Male,Year 1,Campus session,Intrusive Memory,High Sensitivity,2,4,3
268,18,Female,Year 1,Online/network test,Intrusive Memory,High Sensitivity,3,3,4
269,64,Male,Resident,Campus resident session,Intrusive Memory,High Sensitivity,1,2,1
270,19,Male,Year 3,Online/network test,Intrusive Memory,High Sensitivity,2,1,1
271,46,Male,Resident,Campus resident session,Intrusive Memory,High Sensitivity,4,6,4
272,36,Female,Resident,Campus resident session,Intrusive Memory,High Sensitivity,1,1,1
273,33,Male,Resident,Campus resident session,Intrusive Memory,High Sensitivity,2,1,3
274,20,Female,Year 2,Online/network test,No Memory,High Sensitivity,4,4,4
275,20,Female,Year 2,Online/network test,No Memory,High Sensitivity,4,5,3
276,45,Female,Resident,Campus resident session,No Memory,High Sensitivity,4,4,4
277,40,Female,Resident,Campus resident session,No Memory,High Sensitivity,3,4,3
278,19,Male,Year 2,Campus session,No Memory,High Sensitivity,3,3,4
279,20,Male,Year 1,Online/network test,No Memory,High Sensitivity,6,7,7
280,20,Female,Year 2,Online/network test,No Memory,High Sensitivity,5,5,4
281,20,Male,Year 3,Campus session,No Memory,High Sensitivity,5,4,5
282,19,Female,Year 3,Campus session,No Memory,High Sensitivity,3,4,4
283,21,Female,Year 2,Campus session,No Memory,High Sensitivity,5,4,4
284,21,Male,Year 2,Campus session,No Memory,High Sensitivity,4,4,5
285,21,Male,Year 1,Online/network test,No Memory,High Sensitivity,4,4,4
286,19,Female,Year 1,Campus session,No Memory,High Sensitivity,4,4,3
287,19,Female,Year 3,Campus session,No Memory,High Sensitivity,4,4,4
288,21,Male,Year 2,Campus session,No Memory,High Sensitivity,4,5,3
289,21,Female,Year 1,Campus session,No Memory,High Sensitivity,5,3,4
290,47,Female,Resident,Campus resident session,No Memory,High Sensitivity,4,5,6
291,19,Female,Year 1,Campus session,No Memory,High Sensitivity,5,4,5
292,22,Female,Year 1,Campus session,No Memory,High Sensitivity,3,3,2
293,21,Male,Year 3,Online/network test,No Memory,High Sensitivity,7,6,6
294,18,Female,Year 3,Campus session,No Memory,High Sensitivity,5,4,3
295,45,Male,Resident,Campus resident session,No Memory,High Sensitivity,5,4,5
296,21,Female,Year 1,Campus session,No Memory,High Sensitivity,6,5,6
297,20,Female,Year 3,Campus session,No Memory,High Sensitivity,6,5,6
298,19,Female,Year 2,Online/network test,No Memory,High Sensitivity,4,5,5
299,20,Female,Year 3,Online/network test,No Memory,High Sensitivity,3,3,2
300,41,Male,Resident,Campus resident session,No Memory,High Sensitivity,4,3,3
301,19,Female,Year 1,Campus session,No Memory,High Sensitivity,4,5,5
302,35,Female,Resident,Campus resident session,No Memory,High Sensitivity,5,5,4
303,30,Female,Resident,Campus resident session,No Memory,High Sensitivity,6,6,6
304,21,Female,Year 3,Campus session,No Memory,High Sensitivity,5,5,4
305,21,Male,Year 1,Campus session,No Memory,High Sensitivity,4,4,4
306,20,Male,Year 1,Online/network test,No Memory,High Sensitivity,5,5,6
307,22,Female,Year 2,Campus session,No Memory,High Sensitivity,5,4,4
308,19,Female,Year 2,Campus session,No Memory,High Sensitivity,5,5,5
309,20,Male,Year 2,Online/network test,No Memory,High Sensitivity,3,4,3
310,19,Female,Year 2,Online/network test,No Memory,High Sensitivity,6,5,4
311,20,Female,Year 1,Campus session,No Memory,High Sensitivity,4,4,3
312,38,Female,Resident,Campus resident session,No Memory,High Sensitivity,5,5,5
313,21,Female,Year 3,Campus session,No Memory,High Sensitivity,5,5,5
314,20,Female,Year 2,Campus session,No Memory,High Sensitivity,4,5,4
315,47,Female,Resident,Campus resident session,No Memory,High Sensitivity,4,4,5
316,19,Male,Year 3,Online/network test,No Memory,High Sensitivity,4,4,4
317,18,Female,Year 2,Campus session,No Memory,High Sensitivity,5,4,5
318,19,Female,Year 2,Online/network test,No Memory,High Sensitivity,4,5,4
319,21,Female,Year 1,Campus session,No Memory,High Sensitivity,5,5,4
320,20,Male,Year 1,Online/network test,No Memory,High Sensitivity,3,4,3
321,19,Male,Year 3,Campus session,No Memory,High Sensitivity,3,3,4
322,19,Male,Year 3,Campus session,No Memory,High Sensitivity,4,4,4
323,20,Female,Year 1,Online/network test,No Memory,High Sensitivity,4,4,3
324,21,Female,Year 2,Campus session,No Memory,High Sensitivity,4,6,5
325,19,Female,Year 3,Campus session,No Memory,High Sensitivity,4,4,5
326,22,Prefer not to say,Year 3,Online/network test,No Memory,High Sensitivity,4,5,5
327,19,Female,Year 3,Campus session,No Memory,High Sensitivity,4,4,4
328,20,Male,Year 2,Online/network test,No Memory,High Sensitivity,5,5,5
329,22,Male,Year 1,Online/network test,No Memory,High Sensitivity,6,5,7
330,43,Male,Resident,Campus resident session,No Memory,High Sensitivity,4,7,6
331,32,Male,Resident,Campus resident session,No Memory,High Sensitivity,4,4,5
332,19,Female,Year 3,Campus session,No Memory,High Sensitivity,5,5,5
333,18,Female,Year 3,Campus session,No Memory,High Sensitivity,4,5,5
334,18,Female,Year 3,Online/network test,No Memory,High Sensitivity,4,5,6
335,20,Female,Year 3,Campus session,No Memory,High Sensitivity,3,3,4
336,20,Female,Year 2,Online/network test,No Memory,High Sensitivity,3,3,4
337,43,Male,Resident,Campus resident session,No Memory,High Sensitivity,6,6,6
338,45,Male,Resident,Campus resident session,No Memory,High Sensitivity,2,3,4
339,20,Female,Year 3,Campus session,No Memory,High Sensitivity,5,5,5
340,19,Female,Year 1,Online/network test,No Memory,High Sensitivity,3,4,3
341,19,Male,Year 2,Campus session,No Memory,High Sensitivity,7,6,5
342,23,Female,Year 1,Campus session,No Memory,High Sensitivity,5,5,5
343,35,Male,Resident,Campus resident session,No Memory,High Sensitivity,4,4,4
344,18,Male,Year 1,Campus session,Relevant Memory,High Sensitivity,6,5,6
345,43,Female,Resident,Campus resident session,Relevant Memory,High Sensitivity,4,3,3
346,18,Male,Year 3,Campus session,Relevant Memory,High Sensitivity,7,7,7
347,21,Male,Year 3,Campus session,Relevant Memory,High Sensitivity,4,6,6
348,42,Female,Resident,Campus resident session,Relevant Memory,High Sensitivity,3,4,3
349,21,Male,Year 1,Online/network test,Relevant Memory,High Sensitivity,5,5,5
350,20,Male,Year 1,Campus session,Relevant Memory,High Sensitivity,7,5,6
351,21,Male,Year 1,Online/network test,Relevant Memory,High Sensitivity,4,5,4
352,33,Female,Resident,Campus resident session,Relevant Memory,High Sensitivity,5,4,5
