Participant_ID,Age,Gender,Grade,Testing_Channel,Memory_Type,Memory_Code,MBF,PrivacyTrust_Item1,PrivacyTrust_Item2,PrivacyTrust_Item3,Loyalty_Item1,Loyalty_Item2,Loyalty_Item3,OptIn_Item1,OptIn_Item2,OptIn_Item3,PlatformTrust_Item1,PlatformTrust_Item2,PlatformTrust_Item3
17,31,Female,Resident,Campus resident session,Intrusive Memory,1,4.667,5,4,5,4,5,6,4,4,5,4,5,5
18,48,Female,Resident,Campus resident session,Intrusive Memory,1,3.0,6,5,5,5,7,4,6,6,6,2,4,3
19,58,Female,Resident,Campus resident session,Intrusive Memory,1,3.0,5,4,3,5,4,3,5,5,4,4,4,4
20,19,Male,Year 2,Campus session,Intrusive Memory,1,3.0,3,4,4,5,6,5,4,4,3,2,2,3
21,21,Female,Year 2,Campus session,Intrusive Memory,1,1.0,4,4,3,3,3,3,3,3,1,4,1,3
22,21,Female,Year 1,Online/network test,Intrusive Memory,1,3.0,5,5,4,3,3,4,5,5,5,3,4,4
23,31,Female,Resident,Campus resident session,Intrusive Memory,1,4.0,4,4,4,4,4,3,3,4,2,4,4,4
24,20,Male,Year 2,Campus session,Intrusive Memory,1,2.0,3,3,3,3,2,3,2,2,3,4,4,4
25,23,Female,Year 1,Campus session,Intrusive Memory,1,5.0,4,4,4,4,2,3,5,6,5,4,4,4
26,46,Female,Resident,Campus resident session,Intrusive Memory,1,2.333,1,1,1,4,4,3,3,3,2,2,3,3
27,21,Female,Year 1,Campus session,Intrusive Memory,1,2.333,3,4,4,4,5,6,3,4,5,4,4,2
28,19,Female,Year 3,Campus session,Intrusive Memory,1,2.667,4,2,3,3,4,3,3,3,3,4,3,4
29,22,Male,Year 3,Online/network test,Intrusive Memory,1,4.667,3,3,4,4,4,4,2,3,3,4,6,5
30,20,Male,Year 1,Campus session,Intrusive Memory,1,4.333,5,6,5,5,7,4,5,4,4,3,3,4
31,21,Male,Year 3,Online/network test,Intrusive Memory,1,2.667,1,4,2,3,3,3,4,4,4,2,3,2
32,36,Female,Resident,Campus resident session,Intrusive Memory,1,3.0,4,4,4,6,3,3,4,4,4,3,2,3
33,37,Female,Resident,Campus resident session,Intrusive Memory,1,2.0,2,4,3,4,1,2,2,3,4,2,2,2
34,21,Female,Year 2,Online/network test,Intrusive Memory,1,1.333,4,2,2,4,4,4,4,3,3,3,4,2
35,22,Male,Year 1,Campus session,Intrusive Memory,1,2.0,4,4,3,5,5,4,4,4,4,3,3,3
36,21,Female,Year 2,Campus session,Intrusive Memory,1,3.0,4,4,4,5,5,5,6,5,5,3,2,3
37,20,Male,Year 2,Online/network test,Intrusive Memory,1,4.333,7,7,5,5,5,5,3,5,5,4,3,4
38,20,Female,Year 3,Campus session,Intrusive Memory,1,3.667,4,3,4,3,6,5,3,3,3,3,3,2
39,20,Female,Year 1,Online/network test,Intrusive Memory,1,2.333,2,4,4,4,4,4,5,5,4,3,3,2
40,37,Female,Resident,Campus resident session,Intrusive Memory,1,2.0,3,1,2,3,4,3,3,3,2,2,3,2
41,35,Male,Resident,Campus resident session,Intrusive Memory,1,1.333,3,3,2,3,2,3,5,6,6,5,5,4
42,18,Female,Year 3,Online/network test,Intrusive Memory,1,1.667,2,3,3,4,5,4,3,3,2,2,1,1
43,42,Male,Resident,Campus resident session,Intrusive Memory,1,1.333,3,3,3,2,2,2,3,5,3,1,2,1
44,20,Female,Year 3,Campus session,Intrusive Memory,1,4.667,4,3,3,5,5,4,4,4,4,3,3,3
45,20,Female,Year 2,Online/network test,Intrusive Memory,1,1.333,4,5,4,5,5,5,5,5,5,2,4,3
46,19,Male,Year 1,Online/network test,Intrusive Memory,1,3.0,3,2,3,4,5,4,5,4,4,3,2,3
47,19,Female,Year 1,Campus session,Intrusive Memory,1,1.667,1,2,1,2,2,2,3,3,1,2,3,2
48,19,Male,Year 3,Campus session,Intrusive Memory,1,3.667,2,4,3,3,3,3,4,3,4,2,4,2
49,20,Male,Year 1,Campus session,Intrusive Memory,1,1.667,2,3,3,3,4,4,2,3,3,2,1,2
50,21,Female,Year 3,Campus session,Intrusive Memory,1,1.667,2,2,3,3,2,4,2,4,3,2,3,3
51,35,Female,Resident,Campus resident session,Intrusive Memory,1,1.667,5,4,5,4,5,4,5,5,5,3,5,3
52,44,Female,Resident,Campus resident session,Intrusive Memory,1,2.667,4,3,4,5,3,4,5,6,5,4,4,4
53,41,Male,Resident,Campus resident session,Intrusive Memory,1,2.0,4,4,2,3,4,2,4,4,5,3,5,6
54,22,Male,Year 1,Campus session,Intrusive Memory,1,1.667,3,4,3,4,4,6,3,2,3,4,3,4
55,21,Male,Year 3,Campus session,Intrusive Memory,1,2.667,5,4,3,3,3,3,6,5,5,3,4,4
56,40,Male,Resident,Campus resident session,Intrusive Memory,1,3.0,5,3,5,5,4,5,3,3,3,4,4,3
57,20,Male,Year 1,Campus session,Intrusive Memory,1,3.333,2,1,2,1,2,3,4,5,4,3,4,4
58,18,Female,Year 1,Campus session,Intrusive Memory,1,2.667,3,2,3,2,3,2,3,3,3,1,1,1
59,19,Female,Year 2,Online/network test,Intrusive Memory,1,2.0,4,4,4,4,4,3,5,5,3,3,3,3
60,20,Female,Year 1,Online/network test,Intrusive Memory,1,3.0,2,2,1,3,3,4,4,3,3,4,5,5
61,20,Male,Year 3,Campus session,Intrusive Memory,1,2.333,3,2,3,4,4,4,4,4,5,2,3,3
62,19,Female,Year 1,Online/network test,Intrusive Memory,1,2.0,4,4,4,5,6,5,4,4,4,5,5,5
63,19,Female,Year 1,Campus session,Intrusive Memory,1,1.667,3,4,2,1,2,2,3,5,3,3,3,4
64,20,Male,Year 1,Campus session,Intrusive Memory,1,1.667,3,4,5,3,4,3,4,2,3,6,3,6
65,34,Male,Resident,Campus resident session,Intrusive Memory,1,3.333,5,4,3,4,4,5,3,4,3,5,5,4
66,20,Female,Year 2,Campus session,Intrusive Memory,1,2.333,2,2,2,5,5,5,5,4,4,2,1,2
67,18,Female,Year 3,Campus session,Intrusive Memory,1,1.333,4,3,4,5,4,4,4,4,4,3,3,2
68,20,Male,Year 1,Online/network test,Intrusive Memory,1,3.667,4,5,4,6,7,7,4,4,4,4,5,4
69,20,Female,Year 3,Online/network test,Intrusive Memory,1,2.333,3,3,4,3,4,4,4,5,3,4,5,3
70,19,Male,Year 2,Campus session,Intrusive Memory,1,3.333,3,3,2,4,4,3,4,4,4,4,5,4
71,20,Female,Year 2,Campus session,Intrusive Memory,1,3.667,5,5,5,4,4,4,6,5,6,3,4,4
72,23,Male,Year 3,Online/network test,Intrusive Memory,1,3.0,3,5,3,4,5,3,4,4,4,3,2,3
73,18,Male,Year 2,Online/network test,Intrusive Memory,1,4.0,5,4,4,4,4,3,4,4,4,3,3,4
74,37,Female,Resident,Campus resident session,Intrusive Memory,1,2.0,4,4,3,4,5,3,3,3,3,3,2,4
75,20,Female,Year 2,Campus session,Intrusive Memory,1,3.0,1,2,1,3,2,4,3,3,2,3,3,3
76,20,Male,Year 3,Campus session,Intrusive Memory,1,2.333,4,4,4,3,4,5,4,4,5,2,2,2
77,47,Female,Resident,Campus resident session,Intrusive Memory,1,2.667,5,5,5,5,6,5,5,4,4,3,4,3
78,21,Female,Year 2,Campus session,Intrusive Memory,1,2.667,3,4,4,4,4,4,5,5,5,3,3,4
79,18,Female,Year 3,Online/network test,Intrusive Memory,1,3.0,4,4,3,4,4,6,3,3,3,3,4,3
80,19,Female,Year 3,Campus session,Intrusive Memory,1,2.333,3,5,4,5,4,4,6,6,5,4,4,5
81,45,Male,Resident,Campus resident session,Intrusive Memory,1,2.0,3,3,4,3,3,2,4,4,4,2,2,2
82,20,Female,Year 2,Online/network test,Intrusive Memory,1,4.0,5,4,5,3,4,5,6,4,5,6,5,5
83,34,Female,Resident,Campus resident session,Intrusive Memory,1,4.0,4,4,4,5,3,4,3,3,3,2,2,2
84,19,Male,Year 1,Online/network test,Intrusive Memory,1,1.667,2,3,2,3,4,4,3,3,3,3,3,4
85,20,Male,Year 3,Campus session,Intrusive Memory,1,3.0,3,2,2,4,5,4,3,4,3,4,3,4
86,42,Male,Resident,Campus resident session,Intrusive Memory,1,5.0,4,3,4,5,6,5,5,5,5,3,4,3
87,47,Male,Resident,Campus resident session,Intrusive Memory,1,4.0,3,2,3,3,4,4,4,3,2,2,3,3
88,21,Male,Year 3,Campus session,Intrusive Memory,1,2.667,4,2,3,3,4,4,3,2,2,4,4,3
89,21,Female,Year 1,Campus session,Intrusive Memory,1,1.667,5,4,5,3,3,4,5,5,5,2,3,1
90,26,Female,Resident,Campus resident session,Intrusive Memory,1,4.0,4,5,5,5,4,6,4,5,5,3,3,3
91,46,Female,Resident,Campus resident session,Intrusive Memory,1,2.333,3,3,3,5,5,4,4,5,4,2,1,3
92,36,Female,Resident,Campus resident session,Intrusive Memory,1,4.0,3,3,5,4,4,4,5,5,5,4,3,3
93,46,Female,Resident,Campus resident session,Intrusive Memory,1,3.0,4,3,5,5,5,6,3,4,4,3,2,3
94,20,Female,Year 2,Campus session,Intrusive Memory,1,3.667,3,3,3,3,3,4,1,1,3,6,5,5
95,21,Male,Year 1,Online/network test,Intrusive Memory,1,3.333,4,3,4,4,2,3,4,5,5,2,2,3
96,37,Female,Resident,Campus resident session,Intrusive Memory,1,4.0,4,5,5,5,5,6,5,6,5,3,3,4
97,23,Male,Year 1,Campus session,Intrusive Memory,1,3.0,3,4,4,4,5,5,4,4,4,3,3,3
98,18,Female,Year 1,Campus session,Intrusive Memory,1,4.333,5,3,5,6,5,5,4,5,5,5,3,3
99,25,Male,Resident,Campus resident session,Intrusive Memory,1,2.667,4,4,4,4,5,4,4,4,4,2,2,2
100,28,Female,Resident,Campus resident session,Intrusive Memory,1,3.0,3,3,2,2,4,2,1,2,1,3,4,5
101,18,Male,Year 1,Campus session,Intrusive Memory,1,4.333,4,4,5,5,5,4,5,4,4,3,3,3
102,42,Female,Resident,Campus resident session,Intrusive Memory,1,1.667,4,2,4,5,5,4,3,4,5,2,3,3
103,19,Female,Year 3,Campus session,Intrusive Memory,1,1.667,3,3,3,6,4,4,5,5,5,3,3,2
104,20,Female,Year 1,Online/network test,Intrusive Memory,1,4.0,3,3,4,5,4,4,4,5,4,3,3,3
105,21,Female,Year 3,Online/network test,Intrusive Memory,1,1.333,2,2,2,3,4,3,3,4,3,2,1,2
106,18,Female,Year 1,Campus session,Intrusive Memory,1,4.667,4,5,5,5,3,5,5,3,4,3,4,4
107,44,Male,Resident,Campus resident session,Intrusive Memory,1,2.0,4,4,2,5,4,4,4,4,4,1,2,1
108,20,Male,Year 3,Campus session,Intrusive Memory,1,2.0,4,3,2,3,3,4,4,6,5,3,5,3
109,18,Male,Year 1,Campus session,Intrusive Memory,1,4.667,5,5,5,5,6,5,6,4,5,4,4,3
110,22,Male,Year 1,Online/network test,Intrusive Memory,1,4.667,3,3,4,5,4,5,4,4,4,5,6,5
111,20,Male,Year 1,Online/network test,Intrusive Memory,1,5.0,3,3,3,4,5,4,3,3,4,3,3,3
112,19,Female,Year 1,Online/network test,Intrusive Memory,1,3.333,4,5,4,4,4,3,4,5,4,3,3,4
113,22,Female,Year 1,Campus session,No Memory,2,3.0,4,4,5,5,5,5,5,6,6,4,4,4
114,19,Male,Year 3,Campus session,No Memory,2,5.667,6,6,5,5,6,5,4,3,4,5,5,5
115,21,Female,Year 3,Campus session,No Memory,2,3.333,5,5,4,4,4,3,5,4,5,6,5,5
116,19,Male,Year 2,Online/network test,No Memory,2,5.0,5,5,5,3,2,4,5,5,6,5,4,5
117,21,Female,Year 1,Campus session,No Memory,2,4.667,6,7,7,4,6,6,4,5,6,4,6,4
118,21,Male,Year 2,Online/network test,No Memory,2,3.333,3,4,3,5,6,6,5,3,3,3,3,4
119,18,Male,Year 1,Online/network test,No Memory,2,4.333,3,4,3,4,4,3,4,4,4,5,4,5
120,19,Male,Year 3,Online/network test,No Memory,2,4.667,4,3,4,4,4,4,3,4,4,3,4,4
121,34,Female,Resident,Campus resident session,No Memory,2,4.0,3,4,4,6,5,7,5,4,4,4,3,4
122,21,Female,Year 1,Campus session,No Memory,2,2.667,4,5,5,5,4,5,3,4,3,3,3,4
123,20,Female,Year 3,Online/network test,No Memory,2,4.0,2,1,3,2,2,3,2,1,3,5,5,3
124,47,Male,Resident,Campus resident session,No Memory,2,4.667,5,5,5,3,4,3,4,5,5,3,5,4
125,27,Male,Resident,Campus resident session,No Memory,2,3.333,3,3,4,4,5,5,5,5,5,4,5,4
126,41,Male,Resident,Campus resident session,No Memory,2,3.333,4,3,4,5,5,5,6,6,5,4,3,4
127,32,Female,Resident,Campus resident session,No Memory,2,4.0,4,3,3,4,5,6,3,3,2,3,4,3
128,36,Male,Resident,Campus resident session,No Memory,2,5.0,4,5,4,4,5,4,5,7,6,7,5,7
129,20,Female,Year 2,Online/network test,No Memory,2,4.667,5,4,5,4,4,4,5,6,6,5,3,4
130,20,Female,Year 2,Campus session,No Memory,2,4.667,3,4,4,4,4,4,5,5,5,5,5,4
131,42,Female,Resident,Campus resident session,No Memory,2,2.667,4,3,4,3,5,3,3,4,3,2,2,2
132,35,Male,Resident,Campus resident session,No Memory,2,5.0,4,4,3,3,5,4,3,5,5,3,3,5
133,37,Male,Resident,Campus resident session,No Memory,2,3.667,2,3,3,4,5,4,3,1,2,3,4,5
134,49,Male,Resident,Campus resident session,No Memory,2,4.333,5,5,4,4,4,4,5,5,4,5,4,6
135,19,Male,Year 3,Campus session,No Memory,2,3.333,5,4,4,4,4,5,5,4,5,3,4,4
136,19,Male,Year 1,Campus session,No Memory,2,4.667,5,4,5,5,4,5,4,4,5,3,4,5
137,20,Female,Year 2,Online/network test,No Memory,2,4.667,5,5,6,4,4,5,4,4,4,3,3,2
138,37,Female,Resident,Campus resident session,No Memory,2,4.0,4,4,3,2,2,3,4,5,5,4,5,4
139,23,Female,Year 1,Online/network test,No Memory,2,4.333,4,3,3,5,4,4,4,4,5,3,3,3
140,47,Female,Resident,Campus resident session,No Memory,2,2.667,5,6,5,5,4,3,4,4,4,4,3,3
141,22,Female,Year 2,Campus session,No Memory,2,2.667,2,2,2,5,4,4,3,3,3,3,3,3
142,33,Male,Resident,Campus resident session,No Memory,2,5.0,4,4,4,4,4,4,6,4,4,4,3,3
143,21,Female,Year 3,Campus session,No Memory,2,3.333,5,4,5,5,3,3,6,7,6,5,4,5
144,21,Female,Year 3,Online/network test,No Memory,2,4.667,4,4,6,7,5,5,5,6,5,5,5,4
145,46,Male,Resident,Campus resident session,No Memory,2,6.0,5,6,5,6,7,6,5,5,4,5,4,4
146,19,Female,Year 3,Online/network test,No Memory,2,5.333,4,4,5,4,4,4,4,5,4,5,4,5
147,21,Male,Year 1,Campus session,No Memory,2,3.0,3,4,4,6,5,5,3,5,4,3,4,4
148,19,Female,Year 2,Online/network test,No Memory,2,4.667,4,5,4,6,7,6,4,5,4,4,4,4
149,19,Male,Year 2,Online/network test,No Memory,2,2.667,4,5,5,5,5,6,4,4,2,3,3,5
150,19,Female,Year 1,Campus session,No Memory,2,3.667,4,3,3,6,6,4,4,4,3,3,3,3
151,22,Female,Year 1,Campus session,No Memory,2,4.0,4,4,3,5,5,5,4,4,3,3,3,2
152,22,Female,Year 2,Campus session,No Memory,2,6.333,7,7,7,7,7,7,6,6,6,4,4,6
153,19,Male,Year 2,Campus session,No Memory,2,3.0,3,3,4,5,4,5,7,6,5,2,4,4
154,20,Male,Year 2,Online/network test,No Memory,2,3.0,5,6,6,6,5,5,4,5,4,3,2,3
155,53,Male,Resident,Campus resident session,No Memory,2,3.333,3,3,4,3,4,3,5,4,5,3,4,4
156,25,Male,Resident,Campus resident session,No Memory,2,2.333,5,4,5,3,3,2,6,5,6,3,3,3
157,20,Male,Year 3,Online/network test,No Memory,2,5.0,3,3,3,3,3,4,4,5,4,5,3,4
158,19,Female,Year 2,Online/network test,No Memory,2,3.333,4,3,4,4,3,3,4,5,4,5,4,3
159,35,Female,Resident,Campus resident session,No Memory,2,3.333,2,4,3,4,3,3,4,5,4,4,4,4
160,18,Male,Year 3,Online/network test,No Memory,2,3.667,5,5,5,5,4,5,4,4,4,5,4,5
161,22,Female,Year 3,Online/network test,No Memory,2,3.333,2,3,3,3,3,3,3,4,3,5,5,6
162,46,Female,Resident,Campus resident session,No Memory,2,5.0,5,5,6,3,3,5,5,5,5,5,3,4
163,40,Female,Resident,Campus resident session,No Memory,2,4.333,4,5,3,5,4,4,4,4,4,4,5,6
164,18,Female,Year 2,Campus session,No Memory,2,3.667,4,2,3,5,4,4,3,4,4,4,5,4
165,44,Male,Resident,Campus resident session,No Memory,2,1.667,2,2,2,3,3,3,4,3,3,2,3,4
166,20,Male,Year 2,Campus session,No Memory,2,4.667,4,4,4,4,4,4,5,6,5,5,3,6
167,37,Male,Resident,Campus resident session,No Memory,2,3.667,5,5,5,5,4,4,4,4,5,4,5,5
168,41,Female,Resident,Campus resident session,No Memory,2,2.0,3,3,2,4,2,4,4,4,5,3,3,3
169,21,Female,Year 1,Online/network test,No Memory,2,4.667,6,6,5,5,5,4,5,4,5,7,6,6
170,19,Male,Year 3,Online/network test,No Memory,2,3.333,3,3,4,5,6,5,3,4,3,3,1,2
171,20,Female,Year 2,Online/network test,No Memory,2,3.667,5,4,5,5,5,5,3,4,5,3,3,3
172,41,Female,Resident,Campus resident session,No Memory,2,3.667,2,2,3,4,3,2,3,4,3,3,2,3
173,18,Female,Year 3,Campus session,No Memory,2,4.0,5,4,3,5,4,4,5,5,6,5,5,6
174,20,Female,Year 1,Campus session,No Memory,2,3.667,4,4,4,2,3,3,5,6,6,5,4,4
175,20,Male,Year 3,Campus session,No Memory,2,3.667,4,3,4,5,5,5,5,3,3,3,3,2
176,21,Female,Year 2,Online/network test,No Memory,2,4.667,3,5,4,6,5,5,4,5,5,4,5,4
177,19,Female,Year 3,Campus session,No Memory,2,3.0,4,3,4,4,6,6,5,4,4,2,3,4
178,51,Female,Resident,Campus resident session,No Memory,2,3.333,5,5,4,4,4,3,5,4,5,6,6,6
179,44,Female,Resident,Campus resident session,No Memory,2,3.333,4,4,4,3,4,4,5,4,6,4,4,3
180,18,Female,Year 3,Campus session,No Memory,2,3.667,4,4,3,4,4,4,6,5,6,4,5,4
181,18,Female,Year 3,Campus session,No Memory,2,3.333,4,4,3,3,5,5,5,6,4,3,3,2
182,21,Female,Year 2,Campus session,No Memory,2,3.0,5,4,4,3,4,3,4,4,5,4,2,5
183,18,Female,Year 2,Campus session,No Memory,2,3.0,3,3,4,3,4,3,4,5,5,3,2,3
184,18,Female,Year 2,Campus session,No Memory,2,2.0,5,5,5,4,4,4,3,2,2,3,2,2
185,21,Female,Year 1,Online/network test,No Memory,2,5.0,5,5,4,6,4,5,5,6,6,1,3,2
186,22,Male,Year 3,Online/network test,No Memory,2,1.667,3,4,2,5,6,5,3,4,3,2,3,2
187,19,Male,Year 3,Online/network test,No Memory,2,3.0,3,2,4,3,4,3,4,4,4,4,4,3
188,19,Male,Year 1,Campus session,No Memory,2,3.0,4,3,4,4,5,4,4,5,4,3,5,4
189,19,Male,Year 3,Campus session,No Memory,2,3.667,5,5,6,6,6,5,5,6,6,3,1,3
190,18,Female,Year 2,Campus session,No Memory,2,4.667,4,4,4,4,5,5,5,5,5,6,5,5
191,20,Female,Year 2,Campus session,No Memory,2,2.333,3,2,1,3,2,3,2,3,3,3,4,4
192,44,Male,Resident,Campus resident session,No Memory,2,3.333,5,4,5,5,5,3,5,4,4,4,4,5
193,20,Female,Year 1,Campus session,No Memory,2,3.333,4,4,3,5,5,5,4,4,5,4,3,4
194,38,Male,Resident,Campus resident session,No Memory,2,2.667,3,4,3,4,4,4,4,4,3,5,6,5
195,37,Female,Resident,Campus resident session,No Memory,2,4.333,4,4,4,3,3,2,5,4,4,4,4,4
196,22,Female,Year 1,Campus session,No Memory,2,3.667,5,4,4,5,5,5,3,5,4,3,3,3
197,20,Female,Year 3,Online/network test,No Memory,2,4.667,4,3,5,6,4,5,6,6,6,5,6,6
198,19,Male,Year 2,Online/network test,No Memory,2,4.667,4,3,3,3,4,4,4,4,4,4,2,3
199,20,Male,Year 3,Campus session,No Memory,2,5.333,4,4,3,6,6,5,5,5,6,4,5,4
200,21,Female,Year 1,Online/network test,No Memory,2,4.333,5,4,5,5,4,6,5,4,3,4,3,3
201,21,Female,Year 2,Campus session,No Memory,2,4.333,3,3,3,4,3,5,4,3,4,5,4,5
202,22,Female,Year 1,Campus session,No Memory,2,3.333,4,3,3,2,2,3,3,3,3,5,4,3
203,22,Female,Year 3,Online/network test,No Memory,2,4.667,5,6,5,4,3,3,3,3,4,3,4,4
204,19,Female,Year 1,Campus session,No Memory,2,4.333,5,4,5,4,4,5,4,5,5,4,4,4
205,19,Male,Year 3,Online/network test,No Memory,2,4.333,4,3,4,4,3,2,6,6,5,2,3,2
206,38,Female,Resident,Campus resident session,No Memory,2,2.333,5,5,4,5,5,5,5,6,7,5,6,5
207,18,Female,Year 2,Campus session,No Memory,2,3.333,2,2,4,3,3,3,3,4,4,4,2,3
208,20,Female,Year 2,Campus session,No Memory,2,3.333,3,4,3,4,5,5,4,3,3,4,4,4
209,22,Female,Year 1,Campus session,No Memory,2,3.667,5,4,4,4,4,5,5,6,6,3,2,4
210,18,Male,Year 3,Campus session,No Memory,2,4.0,5,4,5,5,6,4,5,5,5,5,4,4
211,45,Male,Resident,Campus resident session,No Memory,2,4.0,5,5,5,5,4,4,5,6,6,4,4,2
212,20,Male,Year 1,Campus session,No Memory,2,4.333,2,2,2,4,3,5,5,4,6,6,5,4
213,19,Male,Year 3,Campus session,No Memory,2,5.333,5,4,5,3,4,4,6,5,5,3,4,3
214,19,Female,Year 3,Online/network test,No Memory,2,3.0,5,4,5,4,6,5,4,4,3,4,3,3
215,38,Female,Resident,Campus resident session,No Memory,2,2.667,4,4,3,4,3,3,3,4,4,3,3,2
216,44,Female,Resident,Campus resident session,No Memory,2,3.0,6,6,6,5,6,6,5,6,7,2,3,1
217,19,Female,Year 1,Online/network test,No Memory,2,3.667,4,5,4,4,4,3,4,4,3,3,4,4
218,58,Female,Resident,Campus resident session,No Memory,2,5.0,5,6,4,6,6,5,6,5,5,5,4,6
219,18,Female,Year 3,Campus session,No Memory,2,5.667,4,4,4,4,5,5,5,6,5,5,3,4
220,19,Male,Year 1,Campus session,No Memory,2,4.333,5,5,5,6,6,5,6,5,6,4,4,3
221,21,Male,Year 2,Campus session,No Memory,2,2.333,4,4,5,4,5,4,5,3,5,4,3,4
222,19,Female,Year 3,Campus session,No Memory,2,3.0,4,4,4,4,4,4,2,1,2,4,4,3
223,48,Male,Resident,Campus resident session,No Memory,2,4.0,4,4,6,6,7,5,5,5,4,4,2,2
224,39,Female,Resident,Campus resident session,No Memory,2,4.667,6,5,6,5,5,6,5,6,5,3,2,2
225,51,Female,Resident,Campus resident session,No Memory,2,2.667,2,2,3,3,3,3,2,3,2,4,3,3
226,18,Female,Year 3,Campus session,No Memory,2,3.667,6,5,5,4,5,6,4,5,5,5,5,6
227,38,Female,Resident,Campus resident session,No Memory,2,4.0,4,3,4,4,4,3,5,5,6,3,3,4
228,21,Male,Year 2,Campus session,No Memory,2,3.0,4,3,4,4,4,4,3,3,3,3,1,3
229,26,Female,Resident,Campus resident session,Relevant Memory,3,3.667,4,4,5,3,6,6,5,5,5,4,4,4
230,21,Male,Year 2,Online/network test,Relevant Memory,3,4.667,4,4,4,3,4,4,5,6,5,3,4,4
231,19,Female,Year 3,Campus session,Relevant Memory,3,3.333,3,3,3,3,3,5,4,5,5,3,5,2
232,34,Female,Resident,Campus resident session,Relevant Memory,3,4.333,4,4,4,6,6,5,4,3,4,3,4,3
233,19,Female,Year 2,Campus session,Relevant Memory,3,3.667,4,3,3,5,5,5,4,3,3,4,4,3
234,26,Male,Resident,Campus resident session,Relevant Memory,3,5.0,4,5,5,6,4,6,4,5,5,5,4,5
235,39,Female,Resident,Campus resident session,Relevant Memory,3,3.667,4,5,5,4,4,5,4,5,6,4,4,5
236,23,Male,Year 1,Online/network test,Relevant Memory,3,5.667,4,5,5,5,4,5,5,5,5,4,3,3
237,43,Female,Resident,Campus resident session,Relevant Memory,3,6.667,5,6,5,6,5,4,5,6,4,5,7,6
238,56,Male,Resident,Campus resident session,Relevant Memory,3,2.0,1,2,2,3,3,4,4,3,2,2,2,3
239,19,Female,Year 3,Online/network test,Relevant Memory,3,5.667,5,6,5,4,3,3,5,4,5,4,3,5
240,45,Female,Resident,Campus resident session,Relevant Memory,3,5.333,6,6,7,5,5,5,6,6,6,4,6,5
241,22,Female,Year 2,Online/network test,Relevant Memory,3,4.667,3,2,3,3,4,3,3,3,2,5,5,4
242,20,Female,Year 1,Campus session,Relevant Memory,3,3.667,3,3,3,3,3,3,3,3,6,4,3,3
243,20,Female,Year 1,Online/network test,Relevant Memory,3,5.0,3,4,4,6,6,7,6,6,6,4,5,3
244,40,Female,Resident,Campus resident session,Relevant Memory,3,5.0,5,4,3,5,5,5,5,7,6,5,5,4
245,20,Female,Year 2,Campus session,Relevant Memory,3,5.0,6,6,5,5,5,4,4,4,5,4,4,5
246,21,Female,Year 1,Campus session,Relevant Memory,3,3.0,5,5,6,4,4,4,6,5,6,4,5,4
247,20,Male,Year 1,Campus session,Relevant Memory,3,5.333,6,6,5,5,5,6,7,7,6,3,2,3
248,20,Male,Year 2,Campus session,Relevant Memory,3,5.333,5,5,4,5,4,3,4,5,4,5,5,5
249,21,Male,Year 2,Online/network test,Relevant Memory,3,3.667,5,3,3,5,4,5,5,5,4,4,5,3
