Participant_ID,Age,Gender,Grade,Testing_Channel,Memory_Type,MBF,Trans_Item1,Trans_Item2,Trans_Item3,DataShare_Item1,DataShare_Item2,DataShare_Item3,Rel_Item1,Rel_Item2,Rel_Item3
52,22,Male,Year 2,Campus session,Intrusive Memory,2.667,2,3,3,1,2,2,3,3,3
53,47,Male,Resident,Campus resident session,Intrusive Memory,2,5,5,5,3,3,4,4,2,3
54,20,Male,Year 1,Online/network test,Intrusive Memory,3.333,4,3,3,3,3,2,4,6,4
55,21,Female,Year 3,Campus session,Intrusive Memory,3.667,4,3,5,6,5,6,4,4,4
56,54,Female,Resident,Campus resident session,Intrusive Memory,4.333,5,4,5,5,6,5,5,3,4
57,34,Female,Resident,Campus resident session,Intrusive Memory,2,7,7,6,3,3,2,3,4,4
58,19,Female,Year 1,Campus session,Intrusive Memory,2.333,4,4,4,4,4,4,4,4,5
59,20,Male,Year 1,Online/network test,Intrusive Memory,3.667,7,7,5,3,4,3,3,3,3
60,22,Male,Year 3,Campus session,Intrusive Memory,2.333,4,4,3,2,2,4,5,5,4
61,22,Male,Year 2,Online/network test,Intrusive Memory,2.333,3,4,4,4,4,6,3,1,2
62,47,Female,Resident,Campus resident session,Intrusive Memory,2.333,6,4,5,3,6,4,3,4,4
63,21,Female,Year 2,Campus session,Intrusive Memory,4.333,3,3,3,2,4,4,4,3,4
64,21,Female,Year 2,Campus session,Intrusive Memory,1,6,7,6,5,3,4,3,3,2
65,20,Male,Year 2,Campus session,Intrusive Memory,5.333,5,6,5,4,5,5,3,4,3
66,20,Male,Year 3,Online/network test,Intrusive Memory,3.333,3,3,3,5,5,5,3,2,3
67,49,Female,Resident,Campus resident session,Intrusive Memory,3.667,5,6,6,3,4,3,5,5,5
68,27,Female,Resident,Campus resident session,Intrusive Memory,4,3,3,4,5,5,4,4,6,6
69,21,Male,Year 2,Online/network test,Intrusive Memory,4,6,5,6,2,3,4,3,3,3
70,18,Male,Year 2,Campus session,Intrusive Memory,1.667,6,6,6,3,3,4,5,5,4
71,19,Female,Year 2,Campus session,Intrusive Memory,2,4,5,4,3,4,4,5,6,5
72,21,Male,Year 1,Campus session,Intrusive Memory,4,5,4,5,4,4,3,4,5,4
73,20,Female,Year 3,Campus session,Intrusive Memory,2.333,6,4,4,3,3,4,4,3,4
74,33,Female,Resident,Campus resident session,Intrusive Memory,4,3,3,4,3,4,4,4,4,3
75,20,Male,Year 2,Campus session,Intrusive Memory,3.333,5,4,5,3,2,4,3,5,5
76,22,Female,Year 1,Online/network test,Intrusive Memory,5,2,3,3,4,3,4,3,4,4
77,20,Male,Year 3,Campus session,Intrusive Memory,3,6,6,7,4,3,4,3,4,3
78,20,Female,Year 1,Online/network test,Intrusive Memory,4.333,3,4,4,5,5,5,4,4,4
79,22,Male,Year 2,Campus session,Intrusive Memory,5.333,4,4,3,7,7,7,5,6,5
80,21,Male,Year 2,Online/network test,Intrusive Memory,4,4,5,4,4,2,4,3,4,3
81,25,Female,Resident,Campus resident session,Intrusive Memory,2,4,4,4,4,4,4,5,4,4
82,20,Male,Year 1,Campus session,Intrusive Memory,3.333,5,6,5,3,4,2,5,6,6
83,19,Female,Year 2,Online/network test,Intrusive Memory,2.667,5,6,5,5,3,5,6,5,5
84,39,Female,Resident,Campus resident session,Intrusive Memory,2,5,5,5,6,5,6,3,4,3
85,23,Female,Year 1,Online/network test,Intrusive Memory,1.667,3,3,2,1,1,2,2,2,3
86,19,Female,Year 3,Campus session,Intrusive Memory,2.667,4,6,6,4,3,3,5,4,4
87,18,Female,Year 1,Campus session,Intrusive Memory,3.667,4,4,4,4,5,2,4,4,4
88,21,Female,Year 1,Online/network test,Intrusive Memory,4,3,4,3,5,5,7,5,5,6
89,19,Male,Year 1,Online/network test,Intrusive Memory,2.667,4,5,5,3,4,5,4,3,4
90,47,Female,Resident,Campus resident session,Intrusive Memory,3.667,5,5,3,3,3,3,4,3,3
91,18,Female,Year 2,Online/network test,Intrusive Memory,2.667,6,6,6,2,3,2,4,5,5
92,22,Male,Year 3,Campus session,Intrusive Memory,3.667,4,4,6,4,4,4,1,1,2
93,20,Male,Year 2,Campus session,Intrusive Memory,4,4,4,4,5,4,4,4,4,5
94,22,Male,Year 2,Online/network test,Intrusive Memory,4.667,5,5,4,5,5,6,6,5,4
95,55,Female,Resident,Campus resident session,Intrusive Memory,4.667,4,4,2,3,3,3,4,5,5
96,19,Male,Year 3,Campus session,Intrusive Memory,3.667,4,4,4,2,2,2,4,5,3
97,22,Female,Year 1,Online/network test,Intrusive Memory,3,4,5,3,4,3,4,5,4,4
98,20,Female,Year 1,Campus session,Intrusive Memory,3,4,4,4,4,2,3,6,5,6
99,18,Female,Year 2,Campus session,Intrusive Memory,3,5,5,5,3,3,1,6,4,4
100,18,Male,Year 1,Campus session,Intrusive Memory,1.667,5,6,5,4,4,5,5,7,6
101,18,Female,Year 3,Campus session,Intrusive Memory,2.333,5,4,4,3,4,5,5,6,6
102,43,Male,Resident,Campus resident session,Intrusive Memory,2,5,6,4,1,3,1,2,3,3
103,55,Male,Resident,Campus resident session,Intrusive Memory,4.667,4,5,6,5,4,4,6,6,6
104,20,Female,Year 2,Campus session,Intrusive Memory,4.333,5,5,4,3,1,2,2,2,2
105,20,Female,Year 1,Campus session,No Memory,4,5,6,6,5,6,4,2,2,2
106,20,Female,Year 2,Campus session,No Memory,4,7,7,7,4,4,4,4,4,4
107,19,Male,Year 2,Campus session,No Memory,5.667,5,5,5,4,4,3,5,4,5
108,19,Female,Year 1,Online/network test,No Memory,4.333,4,4,4,6,5,6,5,5,6
109,21,Female,Year 1,Campus session,No Memory,5,5,6,5,7,7,6,5,5,4
110,21,Female,Year 1,Campus session,No Memory,4,7,6,6,5,6,6,6,6,6
111,20,Female,Year 1,Campus session,No Memory,3.667,3,3,3,2,4,3,5,6,6
112,18,Female,Year 2,Online/network test,No Memory,4,5,5,6,3,3,3,6,5,5
113,31,Female,Resident,Campus resident session,No Memory,3.333,5,7,6,3,3,4,7,4,5
114,20,Prefer not to say,Year 2,Campus session,No Memory,4.333,4,4,4,5,6,5,4,4,3
115,19,Male,Year 2,Online/network test,No Memory,3,5,5,6,4,4,4,3,4,4
116,21,Male,Year 3,Campus session,No Memory,4,3,4,5,4,4,5,5,6,6
117,28,Female,Resident,Campus resident session,No Memory,4,4,4,4,5,5,5,7,7,6
118,21,Female,Year 1,Online/network test,No Memory,5,3,5,5,5,5,6,4,3,3
119,21,Female,Year 2,Campus session,No Memory,3,6,7,6,4,4,4,4,4,4
120,22,Female,Year 2,Campus session,No Memory,3.333,3,3,3,4,5,4,2,3,4
121,20,Male,Year 3,Campus session,No Memory,4.333,3,4,3,3,3,3,5,5,5
122,20,Female,Year 3,Online/network test,No Memory,5.333,5,5,5,5,5,5,6,5,6
123,20,Male,Year 1,Campus session,No Memory,5.667,4,3,4,5,4,4,5,4,4
124,20,Female,Year 2,Campus session,No Memory,3,4,5,5,2,2,2,3,2,4
125,42,Female,Resident,Campus resident session,No Memory,5,2,2,3,3,3,4,3,4,4
126,20,Male,Year 1,Campus session,No Memory,2.333,5,4,4,4,4,4,4,4,4
127,20,Female,Year 3,Campus session,No Memory,4.333,5,6,5,4,4,3,5,5,4
128,19,Female,Year 3,Online/network test,No Memory,3.667,5,4,5,7,6,6,5,6,4
129,45,Female,Resident,Campus resident session,No Memory,4.667,2,5,4,5,6,6,3,4,3
130,22,Female,Year 1,Campus session,No Memory,3.333,6,5,6,5,4,3,5,5,5
131,40,Male,Resident,Campus resident session,No Memory,5.667,4,4,4,4,5,5,6,6,6
132,21,Female,Year 2,Campus session,No Memory,5,4,5,5,5,6,7,2,5,4
133,25,Female,Resident,Campus resident session,No Memory,4.667,6,5,5,6,5,6,4,4,3
134,21,Female,Year 3,Online/network test,No Memory,4,4,4,5,4,4,4,5,4,3
135,20,Prefer not to say,Year 2,Online/network test,No Memory,4.667,4,5,4,2,3,3,6,4,4
136,20,Male,Year 2,Campus session,No Memory,5,4,4,4,4,4,4,5,5,5
137,20,Female,Year 3,Campus session,No Memory,1.333,2,2,2,4,4,4,6,4,6
138,22,Female,Year 1,Campus session,No Memory,5.333,4,3,3,5,4,5,2,4,3
139,19,Male,Year 2,Campus session,No Memory,5.333,3,3,3,5,5,4,5,6,5
140,18,Female,Year 3,Online/network test,No Memory,4,6,5,6,5,2,4,5,5,4
141,18,Male,Year 1,Campus session,No Memory,5.333,5,5,5,5,5,6,5,5,6
142,19,Male,Year 3,Online/network test,No Memory,3.333,7,7,7,5,6,5,3,4,4
143,41,Male,Resident,Campus resident session,No Memory,2.667,5,4,5,3,4,4,4,5,5
144,22,Female,Year 1,Campus session,No Memory,4.333,7,6,6,4,5,5,4,5,3
145,31,Female,Resident,Campus resident session,No Memory,4.667,5,5,5,4,3,5,6,6,6
146,47,Male,Resident,Campus resident session,No Memory,5.667,4,4,3,2,3,3,4,4,5
147,21,Female,Year 1,Online/network test,No Memory,5.667,5,4,5,7,6,6,4,3,4
148,44,Male,Resident,Campus resident session,No Memory,4.333,2,2,3,4,4,4,5,4,3
149,20,Female,Year 1,Online/network test,No Memory,5.333,5,7,7,4,5,3,6,6,7
150,21,Female,Year 1,Campus session,No Memory,4,6,5,5,4,4,3,5,6,6
151,34,Female,Resident,Campus resident session,No Memory,3.667,5,5,6,4,3,4,4,4,4
152,21,Male,Year 3,Online/network test,No Memory,3,5,3,4,5,5,5,4,5,5
153,22,Male,Year 2,Online/network test,No Memory,2.667,6,6,6,4,4,5,5,5,5
154,37,Male,Resident,Campus resident session,No Memory,5,4,4,3,4,2,2,4,4,4
155,33,Male,Resident,Campus resident session,No Memory,6,4,4,4,6,5,6,4,4,3
156,41,Male,Resident,Campus resident session,No Memory,4.667,3,2,3,5,4,6,5,5,5
157,20,Male,Year 3,Campus session,No Memory,5,5,5,5,5,6,5,4,4,4
158,21,Male,Year 2,Online/network test,No Memory,5,4,3,4,2,4,2,6,6,4
159,49,Female,Resident,Campus resident session,No Memory,4.333,4,5,4,4,4,4,5,5,6
160,34,Male,Resident,Campus resident session,No Memory,4,5,4,6,3,3,3,4,3,4
161,45,Male,Resident,Campus resident session,No Memory,5,6,6,7,3,2,3,5,5,5
162,19,Female,Year 1,Online/network test,No Memory,3,6,6,7,2,1,2,3,3,2
163,35,Male,Resident,Campus resident session,No Memory,4.333,5,5,5,5,6,5,5,5,5
164,21,Prefer not to say,Year 3,Campus session,No Memory,6,5,5,6,3,4,4,5,4,5
165,20,Female,Year 2,Campus session,No Memory,4.667,4,5,5,4,4,4,4,3,3
166,20,Female,Year 2,Campus session,No Memory,4,3,3,2,4,4,5,3,2,3
167,35,Male,Resident,Campus resident session,No Memory,5,4,4,4,4,4,4,5,6,7
168,19,Male,Year 2,Online/network test,No Memory,4,5,5,6,3,1,3,4,4,4
169,20,Male,Year 3,Campus session,No Memory,5.333,5,5,6,4,4,3,6,4,5
170,19,Female,Year 3,Campus session,No Memory,4.667,7,4,5,5,5,5,5,5,5
171,41,Male,Resident,Campus resident session,No Memory,4.667,4,3,4,3,4,3,5,6,7
172,21,Female,Year 1,Campus session,No Memory,6.333,2,4,4,6,5,5,5,5,5
173,22,Female,Year 3,Online/network test,No Memory,4.333,4,5,4,5,3,3,3,4,3
174,32,Female,Resident,Campus resident session,No Memory,4.667,5,3,5,4,4,4,4,5,2
175,21,Male,Year 1,Online/network test,No Memory,5.667,6,6,6,2,2,2,3,4,4
176,20,Male,Year 1,Online/network test,No Memory,3,7,6,5,5,5,5,4,6,5
177,37,Male,Resident,Campus resident session,No Memory,3.333,6,5,5,3,3,3,7,7,6
178,33,Female,Resident,Campus resident session,No Memory,3.333,3,3,3,4,3,4,3,2,1
179,20,Female,Year 2,Online/network test,No Memory,4,5,6,4,4,5,4,7,6,5
180,21,Female,Year 3,Online/network test,No Memory,4,5,5,6,4,6,5,4,4,4
181,21,Female,Year 3,Campus session,No Memory,2.333,6,6,6,4,3,3,3,4,4
182,18,Female,Year 3,Campus session,No Memory,2.667,6,4,5,5,5,4,6,4,4
183,20,Male,Year 2,Online/network test,No Memory,4,6,6,5,5,5,6,3,4,6
184,57,Male,Resident,Campus resident session,No Memory,7,3,3,4,4,5,4,3,3,3
185,19,Male,Year 2,Campus session,No Memory,5.333,4,5,4,1,2,2,3,3,3
186,43,Female,Resident,Campus resident session,No Memory,3.667,5,6,5,2,3,3,3,4,4
187,37,Female,Resident,Campus resident session,No Memory,4.333,5,5,6,4,6,5,3,5,4
188,18,Female,Year 2,Campus session,No Memory,4.333,4,4,3,4,6,6,3,5,4
189,21,Female,Year 1,Online/network test,No Memory,4.333,5,3,4,4,5,5,3,4,4
190,43,Male,Resident,Campus resident session,No Memory,4.333,4,3,4,5,4,5,5,4,4
191,20,Female,Year 3,Online/network test,No Memory,6,3,3,3,3,4,3,5,6,4
192,21,Male,Year 2,Online/network test,No Memory,4.333,3,4,2,4,5,6,5,5,4
193,20,Male,Year 3,Campus session,No Memory,3,4,6,4,4,4,4,5,6,5
194,18,Male,Year 1,Campus session,No Memory,5,6,5,5,5,5,6,5,5,4
195,21,Male,Year 1,Online/network test,No Memory,4.333,3,4,4,5,5,5,2,3,3
196,20,Male,Year 3,Campus session,No Memory,5.333,4,4,4,4,4,4,5,6,5
197,21,Female,Year 3,Campus session,No Memory,5.667,2,2,2,3,4,4,4,5,4
198,21,Female,Year 2,Campus session,No Memory,3,6,5,7,2,2,3,5,5,4
199,20,Female,Year 2,Campus session,No Memory,5,4,5,6,6,6,4,3,4,4
200,20,Female,Year 3,Campus session,No Memory,5,5,4,5,4,5,6,3,4,4
201,20,Female,Year 3,Campus session,No Memory,5.667,5,5,5,3,3,3,4,4,3
202,22,Female,Year 2,Campus session,No Memory,4,4,4,5,2,4,4,5,5,6
203,20,Female,Year 1,Campus session,No Memory,4.667,7,6,7,3,4,5,3,3,3
204,41,Male,Resident,Campus resident session,No Memory,4.667,4,4,4,7,7,7,5,5,5
205,21,Male,Year 1,Campus session,No Memory,5.333,5,4,5,5,4,3,5,4,5
206,19,Female,Year 2,Campus session,No Memory,5,6,5,6,4,5,5,3,5,5
207,40,Female,Resident,Campus resident session,No Memory,4,4,6,4,5,5,5,5,4,5
208,18,Female,Year 2,Online/network test,No Memory,5,4,4,5,4,4,5,4,4,4
209,21,Male,Year 3,Online/network test,No Memory,4.333,5,5,6,3,3,4,5,4,5
210,21,Female,Year 3,Online/network test,No Memory,4.667,5,4,5,4,5,4,5,5,5
211,21,Female,Year 1,Campus session,No Memory,5,5,5,5,5,4,4,3,2,2
212,19,Female,Year 3,Campus session,No Memory,5.333,6,7,7,2,3,4,3,3,4
213,20,Prefer not to say,Year 1,Campus session,Relevant Memory,5,6,5,7,5,5,5,6,4,5
214,18,Male,Year 3,Online/network test,Relevant Memory,4.333,6,5,6,5,7,5,7,7,7
215,46,Female,Resident,Campus resident session,Relevant Memory,6,6,4,6,5,6,5,4,4,5
216,47,Male,Resident,Campus resident session,Relevant Memory,4.667,5,5,4,5,5,5,4,4,4
217,18,Male,Year 2,Campus session,Relevant Memory,5,3,5,5,5,5,5,4,4,4
218,18,Female,Year 2,Campus session,Relevant Memory,5.333,5,5,4,5,6,6,4,4,3
219,19,Female,Year 1,Online/network test,Relevant Memory,6.667,7,7,5,4,4,6,5,5,6
220,23,Male,Year 2,Campus session,Relevant Memory,6,3,5,5,4,4,5,5,5,6
221,37,Female,Resident,Campus resident session,Relevant Memory,5.333,6,5,6,4,5,6,5,5,4
222,21,Female,Year 2,Online/network test,Relevant Memory,5.333,5,4,5,4,4,4,6,6,6
223,21,Male,Year 3,Online/network test,Relevant Memory,6,4,4,2,4,4,6,3,4,5
224,23,Male,Year 3,Campus session,Relevant Memory,2.667,5,5,5,4,3,3,4,5,6
225,37,Female,Resident,Campus resident session,Relevant Memory,4.333,3,3,3,5,6,5,3,3,4
226,20,Female,Year 1,Campus session,Relevant Memory,4.667,5,5,5,5,6,5,5,5,6
227,22,Female,Year 2,Online/network test,Relevant Memory,6,3,5,4,6,6,7,4,4,4
228,21,Male,Year 3,Online/network test,Relevant Memory,6.667,5,4,4,6,6,5,5,5,5
229,21,Female,Year 2,Campus session,Relevant Memory,5.667,5,5,6,6,6,5,5,5,6
230,22,Female,Year 1,Online/network test,Relevant Memory,5.333,6,6,5,5,3,5,4,5,5
231,21,Female,Year 3,Campus session,Relevant Memory,6.333,4,3,4,6,6,7,5,7,5
232,39,Female,Resident,Campus resident session,Relevant Memory,5.333,4,4,5,5,3,5,4,5,5
233,25,Female,Resident,Campus resident session,Relevant Memory,5,5,4,4,6,6,6,5,6,5
234,21,Female,Year 3,Campus session,Relevant Memory,4.333,6,4,6,5,5,4,3,2,3
235,19,Male,Year 2,Campus session,Relevant Memory,6,5,6,6,5,6,6,3,5,5
236,23,Female,Year 2,Online/network test,Relevant Memory,5.667,4,5,4,5,5,5,7,6,7
237,21,Male,Year 3,Campus session,Relevant Memory,5,3,3,3,6,5,4,5,5,5
238,20,Male,Year 1,Campus session,Relevant Memory,6.667,3,3,4,6,5,5,5,5,5
239,20,Female,Year 2,Online/network test,Relevant Memory,5.667,6,6,5,4,5,4,4,5,5
240,20,Female,Year 2,Campus session,Relevant Memory,6.667,5,5,6,6,4,5,6,7,6
241,20,Female,Year 2,Online/network test,Relevant Memory,5.667,5,5,5,5,4,3,4,5,4
242,19,Male,Year 3,Campus session,Relevant Memory,4,5,6,5,6,5,5,4,4,3
243,30,Female,Resident,Campus resident session,Relevant Memory,5,3,4,4,4,5,6,4,4,5
244,18,Male,Year 3,Campus session,Relevant Memory,4.333,2,3,3,7,7,6,5,5,4
245,52,Male,Resident,Campus resident session,Relevant Memory,2.667,6,4,4,4,5,5,5,4,4
246,21,Male,Year 2,Campus session,Relevant Memory,6,4,4,4,6,5,5,4,4,4
247,55,Female,Resident,Campus resident session,Relevant Memory,5.667,4,4,5,6,5,5,6,5,7
248,21,Male,Year 3,Campus session,Relevant Memory,4.667,5,5,4,4,5,5,5,5,5
249,22,Female,Year 1,Campus session,Relevant Memory,6,7,4,6,6,5,5,4,5,5
250,22,Female,Year 3,Campus session,Relevant Memory,3.333,5,5,6,5,5,5,5,4,5
251,21,Female,Year 2,Online/network test,Relevant Memory,5.333,2,3,3,6,5,5,5,5,4
252,19,Female,Year 3,Online/network test,Relevant Memory,4,3,3,5,3,5,5,6,5,5
253,20,Female,Year 2,Online/network test,Relevant Memory,6,6,7,6,5,6,6,4,4,3
254,20,Female,Year 2,Campus session,Relevant Memory,4.667,5,7,6,7,6,6,5,4,4
255,22,Female,Year 2,Online/network test,Relevant Memory,6,3,3,3,4,3,4,3,4,3
256,20,Male,Year 2,Campus session,Relevant Memory,6,4,4,4,5,4,5,5,4,5
257,19,Female,Year 1,Campus session,Relevant Memory,5.667,6,6,6,5,5,5,6,7,7
258,40,Male,Resident,Campus resident session,Relevant Memory,4.667,4,4,3,5,6,5,4,5,4
259,46,Female,Resident,Campus resident session,Relevant Memory,7,4,4,4,6,6,5,5,5,5
260,20,Female,Year 3,Campus session,Relevant Memory,6.667,4,4,4,6,5,5,6,5,5
261,21,Male,Year 3,Online/network test,Relevant Memory,3,7,6,6,5,6,5,4,5,4
262,22,Female,Year 3,Campus session,Relevant Memory,3.333,3,3,4,5,5,6,5,6,7
263,19,Male,Year 3,Online/network test,Relevant Memory,6.667,5,4,5,4,5,5,4,5,4
264,21,Female,Year 3,Online/network test,Relevant Memory,4,4,3,4,5,5,5,6,6,6
265,43,Female,Resident,Campus resident session,Relevant Memory,6,7,7,6,5,5,5,6,5,6
266,20,Male,Year 1,Online/network test,Relevant Memory,5.333,4,5,4,4,4,5,5,5,4
267,66,Male,Resident,Campus resident session,Relevant Memory,6,5,6,4,5,4,4,3,4,2
268,18,Female,Year 3,Campus session,Relevant Memory,6,4,4,3,3,3,2,6,7,5
269,20,Male,Year 3,Campus session,Relevant Memory,6.667,7,7,7,7,7,7,4,3,3
270,21,Female,Year 1,Online/network test,Relevant Memory,6.333,6,5,7,3,2,3,5,7,6
271,21,Male,Year 3,Online/network test,Relevant Memory,6,5,4,3,5,5,5,6,5,5
272,20,Female,Year 1,Campus session,Relevant Memory,6.667,4,5,5,5,4,3,5,5,5
273,20,Male,Year 3,Campus session,Relevant Memory,6,3,3,3,7,6,6,5,4,5
274,22,Female,Year 1,Campus session,Relevant Memory,5.333,5,5,5,6,4,4,4,4,4
275,19,Male,Year 2,Campus session,Relevant Memory,5.333,6,5,5,5,7,5,6,5,6
276,19,Female,Year 2,Online/network test,Relevant Memory,5.333,7,7,7,3,3,4,4,3,3
277,18,Male,Year 2,Campus session,Relevant Memory,5.333,4,4,4,2,3,3,5,4,4
278,21,Male,Year 1,Online/network test,Relevant Memory,4.333,5,7,7,4,5,3,5,6,5
279,21,Female,Year 2,Campus session,Relevant Memory,5.333,4,6,5,5,4,5,5,5,5
280,23,Female,Year 3,Campus session,Relevant Memory,3.667,5,5,5,4,5,5,5,6,6
281,21,Female,Year 3,Online/network test,Relevant Memory,4,7,5,6,3,2,2,6,6,5
282,20,Female,Year 1,Campus session,Relevant Memory,5.667,4,4,4,4,4,6,5,5,4
283,20,Male,Year 1,Campus session,Relevant Memory,5,5,5,6,3,3,4,3,4,4
284,19,Female,Year 1,Campus session,Relevant Memory,6.667,5,4,5,4,6,5,4,4,4
285,50,Female,Resident,Campus resident session,Relevant Memory,5.333,4,5,6,5,4,3,4,5,5
286,19,Male,Year 1,Online/network test,Relevant Memory,5,4,3,4,5,6,4,5,5,5
287,40,Female,Resident,Campus resident session,Relevant Memory,4.333,6,6,5,4,4,3,4,5,5
288,19,Male,Year 3,Online/network test,Relevant Memory,5,3,5,5,5,4,4,4,4,4
289,23,Prefer not to say,Year 1,Campus session,Relevant Memory,5.667,6,6,6,4,4,4,5,5,4
290,34,Female,Resident,Campus resident session,Relevant Memory,5,5,5,5,6,7,7,5,4,5
291,18,Male,Year 2,Online/network test,Relevant Memory,4.667,4,4,5,4,4,5,5,6,6
292,21,Female,Year 1,Campus session,Relevant Memory,5.667,4,2,3,4,3,4,5,5,4
293,24,Female,Year 2,Campus session,Relevant Memory,4.333,6,6,4,4,5,4,7,7,6
294,21,Female,Year 1,Online/network test,Relevant Memory,3.667,6,6,5,3,4,5,3,4,4
295,18,Female,Year 3,Online/network test,Relevant Memory,4.333,3,3,3,4,3,4,5,5,6
296,20,Male,Year 3,Online/network test,Relevant Memory,4.667,5,4,5,5,5,5,5,5,5
297,18,Female,Year 2,Online/network test,Relevant Memory,5.667,5,5,6,5,5,6,5,4,5
298,19,Female,Year 1,Campus session,Relevant Memory,5,4,4,4,4,5,6,6,7,6
