Participant_ID,Age,Gender,Grade,Testing_Channel,Memory_Type,Memory_Code,MBF,Trust_Item1,Trust_Item2,Trust_Item3,Purchase_Item1,Purchase_Item2,Purchase_Item3,Continue_Item1,Continue_Item2,Continue_Item3
21,18,Male,Year 1,Campus session,Intrusive Memory,1,3.667,4,4,3,4,6,4,3,4,4
22,21,Female,Year 2,Campus session,Intrusive Memory,1,4.0,5,5,6,3,4,3,4,5,4
23,19,Male,Year 1,Online/network test,Intrusive Memory,1,3.667,4,4,4,3,4,3,3,4,4
24,54,Female,Resident,Campus resident session,Intrusive Memory,1,3.333,7,5,5,4,5,4,4,5,2
25,40,Female,Resident,Campus resident session,Intrusive Memory,1,2.667,3,5,5,5,4,5,7,5,7
26,21,Female,Year 1,Campus session,Intrusive Memory,1,2.333,7,5,6,4,4,5,5,5,4
27,20,Male,Year 3,Campus session,Intrusive Memory,1,2.667,4,3,2,4,4,4,5,5,4
28,19,Male,Year 2,Campus session,Intrusive Memory,1,4.333,4,3,4,4,4,4,6,5,5
29,19,Female,Year 3,Online/network test,Intrusive Memory,1,3.333,5,4,5,5,5,4,5,5,5
30,40,Female,Resident,Campus resident session,Intrusive Memory,1,4.0,7,6,7,7,5,6,4,3,4
31,21,Female,Year 2,Campus session,Intrusive Memory,1,4.667,4,4,5,5,5,7,6,6,4
32,21,Male,Year 2,Online/network test,Intrusive Memory,1,4.0,4,4,4,6,4,4,4,5,5
33,20,Female,Year 3,Campus session,Intrusive Memory,1,5.0,4,3,4,7,5,6,5,5,4
34,21,Female,Year 3,Campus session,Intrusive Memory,1,3.667,4,2,3,2,2,2,6,6,7
35,56,Female,Resident,Campus resident session,Intrusive Memory,1,3.333,4,5,4,4,4,4,5,4,5
36,48,Female,Resident,Campus resident session,Intrusive Memory,1,4.667,6,6,6,5,5,5,6,6,5
37,38,Female,Resident,Campus resident session,Intrusive Memory,1,3.333,4,3,3,6,7,7,4,4,5
38,46,Female,Resident,Campus resident session,Intrusive Memory,1,3.0,3,3,3,5,6,7,6,6,6
39,20,Female,Year 1,Campus session,Intrusive Memory,1,4.333,6,6,6,5,4,5,5,6,4
40,19,Female,Year 1,Campus session,Intrusive Memory,1,4.0,2,3,2,4,3,5,4,4,3
41,23,Female,Year 1,Online/network test,Intrusive Memory,1,3.0,4,4,5,5,5,4,3,3,3
42,19,Female,Year 1,Campus session,Intrusive Memory,1,5.333,4,6,5,5,5,5,3,3,4
43,21,Female,Year 3,Campus session,Intrusive Memory,1,3.667,4,5,4,4,3,3,4,4,4
44,19,Male,Year 2,Campus session,Intrusive Memory,1,1.333,4,4,3,6,6,4,3,3,4
45,38,Male,Resident,Campus resident session,Intrusive Memory,1,1.667,4,4,3,5,4,5,4,4,5
46,21,Male,Year 2,Campus session,Intrusive Memory,1,2.0,6,6,7,3,3,3,5,4,5
47,20,Male,Year 1,Campus session,Intrusive Memory,1,4.0,4,4,4,5,4,5,4,3,4
48,18,Male,Year 2,Campus session,Intrusive Memory,1,3.0,6,7,5,5,6,5,5,3,4
49,21,Female,Year 1,Campus session,Intrusive Memory,1,3.667,3,4,4,7,7,7,2,3,3
50,19,Female,Year 1,Campus session,Intrusive Memory,1,4.0,7,6,6,4,4,3,4,3,3
51,20,Male,Year 2,Online/network test,Intrusive Memory,1,2.667,6,7,5,3,3,4,4,4,3
52,21,Female,Year 2,Campus session,Intrusive Memory,1,3.333,6,5,5,3,4,4,5,6,6
53,38,Female,Resident,Campus resident session,Intrusive Memory,1,3.333,5,4,3,4,3,4,6,5,6
54,43,Female,Resident,Campus resident session,Intrusive Memory,1,2.333,3,4,4,4,4,4,4,3,3
55,21,Male,Year 3,Campus session,Intrusive Memory,1,1.333,2,1,2,4,5,4,5,4,4
56,26,Female,Resident,Campus resident session,Intrusive Memory,1,3.667,5,5,5,4,5,5,5,3,4
57,21,Male,Year 2,Campus session,Intrusive Memory,1,3.333,5,4,5,4,6,4,3,4,5
58,18,Male,Year 2,Online/network test,Intrusive Memory,1,3.667,4,4,4,5,4,5,6,6,5
59,19,Female,Year 2,Campus session,Intrusive Memory,1,3.333,3,2,3,5,6,5,4,5,3
60,20,Female,Year 2,Campus session,Intrusive Memory,1,3.667,5,4,4,5,5,5,5,4,5
61,20,Female,Year 1,Campus session,Intrusive Memory,1,2.667,5,5,5,5,5,5,5,5,4
62,19,Female,Year 3,Online/network test,Intrusive Memory,1,4.667,3,5,3,5,4,5,4,5,5
63,28,Male,Resident,Campus resident session,Intrusive Memory,1,2.667,5,5,4,3,4,2,5,4,4
64,21,Male,Year 2,Online/network test,Intrusive Memory,1,2.333,4,5,5,4,5,4,5,6,6
65,21,Female,Year 3,Campus session,Intrusive Memory,1,3.333,4,2,3,5,5,5,6,6,6
66,20,Male,Year 2,Online/network test,Intrusive Memory,1,3.333,6,5,6,3,4,4,6,5,5
67,20,Female,Year 3,Online/network test,Intrusive Memory,1,3.667,5,5,4,5,5,4,3,4,4
68,37,Male,Resident,Campus resident session,Intrusive Memory,1,4.333,4,3,2,5,7,6,6,5,5
69,18,Male,Year 2,Campus session,Intrusive Memory,1,3.0,5,5,5,5,5,5,4,4,5
70,34,Female,Resident,Campus resident session,Intrusive Memory,1,2.667,6,6,5,5,6,6,4,3,3
71,19,Female,Year 2,Campus session,Intrusive Memory,1,2.667,1,2,2,4,3,3,5,5,6
72,22,Male,Year 1,Online/network test,Intrusive Memory,1,2.667,6,7,7,5,5,4,5,6,5
73,19,Male,Year 1,Campus session,Intrusive Memory,1,3.0,4,5,4,4,4,4,4,4,4
74,21,Female,Year 3,Online/network test,Intrusive Memory,1,2.667,4,5,5,3,5,4,5,5,5
75,18,Male,Year 3,Campus session,Intrusive Memory,1,5.0,5,4,4,4,5,4,4,4,4
76,19,Male,Year 2,Campus session,Intrusive Memory,1,3.667,5,4,4,3,4,3,5,4,5
77,21,Female,Year 3,Campus session,Intrusive Memory,1,4.0,5,4,4,4,4,3,5,5,5
78,21,Male,Year 2,Campus session,Intrusive Memory,1,2.667,4,4,3,4,5,4,5,4,5
79,18,Female,Year 3,Online/network test,Intrusive Memory,1,4.333,6,5,5,4,5,5,6,6,6
80,21,Female,Year 2,Campus session,Intrusive Memory,1,2.333,4,4,4,5,5,6,6,5,4
81,21,Female,Year 2,Campus session,Intrusive Memory,1,3.667,6,5,6,3,3,4,5,2,2
82,21,Female,Year 2,Online/network test,Intrusive Memory,1,1.667,6,5,6,4,5,5,3,3,3
83,44,Female,Resident,Campus resident session,Intrusive Memory,1,3.667,4,3,4,5,4,3,3,3,4
84,22,Female,Year 3,Online/network test,Intrusive Memory,1,3.0,5,4,4,3,4,2,3,4,4
85,19,Female,Year 3,Campus session,Intrusive Memory,1,2.0,6,5,6,4,3,4,1,3,3
86,20,Male,Year 1,Campus session,No Memory,2,4.333,4,4,3,7,6,7,5,5,6
87,22,Male,Year 2,Campus session,No Memory,2,4.667,2,2,2,4,4,4,5,3,4
88,20,Male,Year 3,Campus session,No Memory,2,5.0,5,5,6,5,5,6,4,3,5
89,19,Female,Year 3,Campus session,No Memory,2,1.667,4,3,4,4,3,4,4,4,4
90,22,Female,Year 1,Campus session,No Memory,2,3.0,5,6,6,6,7,7,3,3,3
91,19,Male,Year 3,Campus session,No Memory,2,5.333,3,4,4,4,4,4,6,6,5
92,21,Female,Year 1,Online/network test,No Memory,2,4.0,3,3,3,4,5,4,4,4,5
93,34,Female,Resident,Campus resident session,No Memory,2,3.333,1,3,1,6,5,6,5,6,7
94,18,Male,Year 2,Online/network test,No Memory,2,3.667,5,5,5,5,5,6,4,4,5
95,20,Female,Year 3,Campus session,No Memory,2,4.667,2,3,4,4,3,3,6,5,5
96,29,Female,Resident,Campus resident session,No Memory,2,3.667,5,4,3,3,4,4,4,4,3
97,20,Male,Year 2,Campus session,No Memory,2,4.333,4,4,3,5,3,4,5,5,5
98,19,Prefer not to say,Year 1,Campus session,No Memory,2,4.0,5,4,5,6,5,5,4,5,4
99,21,Male,Year 2,Online/network test,No Memory,2,4.667,6,6,6,4,4,4,4,4,4
100,18,Female,Year 3,Online/network test,No Memory,2,3.333,6,4,4,5,5,5,7,6,5
101,20,Male,Year 2,Campus session,No Memory,2,4.0,5,6,5,5,5,6,5,6,4
102,22,Male,Year 2,Online/network test,No Memory,2,4.333,5,5,4,5,5,6,4,4,5
103,20,Female,Year 1,Online/network test,No Memory,2,2.333,3,3,3,5,6,5,4,4,3
104,20,Female,Year 3,Campus session,No Memory,2,3.667,5,4,4,3,3,4,4,3,3
105,18,Male,Year 1,Campus session,No Memory,2,4.0,6,6,6,3,3,4,4,4,4
106,20,Male,Year 1,Online/network test,No Memory,2,3.333,6,7,7,5,3,3,5,6,4
107,53,Male,Resident,Campus resident session,No Memory,2,6.333,5,5,6,3,4,3,5,4,5
108,20,Female,Year 2,Campus session,No Memory,2,5.667,4,2,2,4,4,4,6,5,5
109,41,Female,Resident,Campus resident session,No Memory,2,4.333,5,4,5,6,6,5,6,5,5
110,20,Female,Year 2,Campus session,No Memory,2,4.333,4,3,4,5,4,3,3,5,5
111,20,Female,Year 2,Online/network test,No Memory,2,3.667,4,5,5,6,7,6,4,6,5
112,22,Female,Year 2,Campus session,No Memory,2,4.667,5,5,4,5,4,6,5,6,5
113,42,Female,Resident,Campus resident session,No Memory,2,3.333,4,4,4,5,5,5,5,6,6
114,18,Male,Year 3,Online/network test,No Memory,2,4.0,6,5,4,4,4,4,4,3,4
115,24,Female,Year 2,Campus session,No Memory,2,2.667,4,4,5,4,5,5,4,5,5
116,18,Female,Year 2,Campus session,No Memory,2,5.0,4,5,4,4,5,5,7,6,6
117,30,Female,Resident,Campus resident session,No Memory,2,4.0,2,3,3,4,3,5,4,4,5
118,20,Female,Year 3,Online/network test,No Memory,2,4.333,5,4,4,5,3,3,4,4,5
119,20,Female,Year 2,Campus session,No Memory,2,3.667,3,5,4,4,4,5,7,6,6
120,19,Female,Year 3,Online/network test,No Memory,2,4.0,5,6,5,4,5,4,3,4,5
121,19,Female,Year 2,Online/network test,No Memory,2,4.333,5,6,5,5,6,5,3,3,3
122,22,Male,Year 1,Campus session,No Memory,2,3.667,6,4,6,5,5,5,2,2,2
123,22,Female,Year 2,Campus session,No Memory,2,3.0,4,4,4,4,5,4,4,4,5
124,21,Female,Year 3,Campus session,No Memory,2,2.333,7,6,5,3,5,3,4,4,4
125,18,Male,Year 2,Campus session,No Memory,2,4.667,5,6,5,4,4,3,5,6,5
126,20,Female,Year 1,Campus session,No Memory,2,3.667,5,3,4,5,5,5,2,2,3
127,37,Male,Resident,Campus resident session,No Memory,2,3.667,6,6,5,4,4,4,5,4,5
128,20,Female,Year 3,Online/network test,No Memory,2,4.667,4,3,3,5,3,5,4,6,5
129,42,Male,Resident,Campus resident session,No Memory,2,4.0,5,5,5,5,5,4,3,5,3
130,32,Female,Resident,Campus resident session,No Memory,2,5.333,6,5,6,4,3,4,5,6,4
131,21,Male,Year 2,Online/network test,No Memory,2,4.0,3,4,4,7,6,5,5,4,4
132,21,Female,Year 1,Online/network test,No Memory,2,5.0,5,4,4,3,4,4,4,4,3
133,21,Female,Year 3,Campus session,No Memory,2,5.333,5,6,7,5,4,5,4,4,5
134,19,Female,Year 3,Campus session,No Memory,2,4.333,4,4,4,4,5,5,5,4,4
135,22,Female,Year 3,Campus session,No Memory,2,3.667,5,4,4,4,2,3,7,7,7
136,20,Female,Year 2,Campus session,No Memory,2,5.333,5,4,4,5,4,4,4,5,5
137,44,Male,Resident,Campus resident session,No Memory,2,3.667,3,3,3,5,5,4,5,7,6
138,20,Male,Year 3,Online/network test,No Memory,2,4.333,7,6,7,3,2,2,4,3,4
139,38,Male,Resident,Campus resident session,No Memory,2,5.667,5,5,4,4,5,5,4,3,3
140,20,Female,Year 1,Online/network test,No Memory,2,3.667,6,5,5,5,4,4,6,6,6
141,21,Female,Year 1,Campus session,No Memory,2,3.667,5,4,5,3,4,4,5,6,4
142,21,Male,Year 1,Campus session,No Memory,2,4.333,4,4,6,4,4,5,5,4,5
143,20,Male,Year 1,Campus session,No Memory,2,4.0,5,4,5,7,7,6,4,3,5
144,19,Female,Year 1,Online/network test,No Memory,2,2.667,5,5,5,4,4,4,3,4,3
145,22,Female,Year 3,Campus session,No Memory,2,3.667,5,4,5,5,6,5,5,4,5
146,21,Female,Year 2,Online/network test,No Memory,2,3.333,3,4,3,4,3,4,3,4,3
147,19,Female,Year 1,Online/network test,No Memory,2,5.667,5,3,4,4,3,3,5,5,6
148,19,Male,Year 2,Online/network test,No Memory,2,5.333,3,3,3,2,2,3,5,6,5
149,19,Male,Year 1,Online/network test,No Memory,2,5.0,4,4,5,7,6,5,4,4,4
150,39,Male,Resident,Campus resident session,No Memory,2,4.667,4,3,3,6,7,5,5,5,5
151,20,Male,Year 2,Online/network test,No Memory,2,5.333,4,5,5,1,4,3,5,3,4
152,20,Male,Year 3,Campus session,No Memory,2,3.667,5,6,6,6,6,7,4,3,3
153,37,Male,Resident,Campus resident session,No Memory,2,4.333,4,4,3,5,5,4,4,5,5
154,21,Male,Year 1,Campus session,No Memory,2,5.333,5,3,4,5,6,6,6,5,5
155,57,Male,Resident,Campus resident session,No Memory,2,2.333,6,6,6,3,4,4,5,4,4
156,18,Male,Year 1,Campus session,No Memory,2,5.0,5,4,4,7,7,6,5,4,4
157,21,Female,Year 3,Online/network test,No Memory,2,3.667,3,3,2,5,6,6,2,3,4
158,20,Male,Year 3,Campus session,No Memory,2,5.0,5,6,4,6,5,5,4,5,5
159,20,Male,Year 1,Campus session,No Memory,2,3.333,1,3,2,6,6,7,4,4,5
160,41,Male,Resident,Campus resident session,No Memory,2,5.667,5,4,3,5,5,5,3,3,4
161,20,Female,Year 1,Campus session,No Memory,2,4.0,5,5,5,5,5,5,7,7,7
162,20,Female,Year 1,Campus session,No Memory,2,5.333,4,4,4,3,4,4,4,3,3
163,33,Male,Resident,Campus resident session,No Memory,2,5.0,4,5,5,5,5,6,4,4,4
164,19,Male,Year 3,Campus session,No Memory,2,1.0,4,5,4,4,4,4,4,3,4
165,22,Female,Year 1,Online/network test,No Memory,2,2.0,4,4,4,6,5,6,6,6,5
166,22,Female,Year 1,Online/network test,No Memory,2,4.667,5,4,4,5,5,5,5,4,5
167,22,Male,Year 1,Campus session,No Memory,2,6.0,6,5,5,5,4,5,2,3,3
168,22,Male,Year 3,Campus session,No Memory,2,4.667,4,4,5,4,4,4,5,5,4
169,18,Male,Year 2,Campus session,No Memory,2,5.333,4,4,5,3,5,4,3,3,3
170,21,Male,Year 1,Online/network test,No Memory,2,4.0,4,4,5,4,5,5,3,4,5
171,48,Female,Resident,Campus resident session,No Memory,2,4.333,3,3,5,5,6,5,4,4,4
172,21,Male,Year 1,Online/network test,No Memory,2,4.667,5,4,4,4,4,3,5,4,5
173,20,Male,Year 1,Campus session,No Memory,2,4.667,7,5,6,4,4,3,5,5,5
174,21,Male,Year 2,Online/network test,No Memory,2,4.0,7,7,7,5,6,5,3,4,2
175,20,Female,Year 2,Online/network test,No Memory,2,6.0,5,6,6,5,4,4,6,7,5
176,18,Female,Year 3,Online/network test,No Memory,2,3.667,6,6,6,6,6,6,5,4,4
177,22,Female,Year 3,Online/network test,Relevant Memory,3,5.333,4,4,6,6,5,6,5,4,5
178,18,Male,Year 2,Online/network test,Relevant Memory,3,5.333,3,2,5,6,6,7,5,7,5
179,19,Female,Year 2,Online/network test,Relevant Memory,3,6.333,5,5,4,4,4,3,3,4,4
180,19,Female,Year 2,Campus session,Relevant Memory,3,6.0,5,4,5,5,3,5,3,4,4
181,20,Female,Year 2,Online/network test,Relevant Memory,3,6.0,2,3,2,4,5,4,4,4,5
182,19,Female,Year 1,Online/network test,Relevant Memory,3,3.667,6,6,6,7,7,7,3,4,4
183,21,Female,Year 3,Campus session,Relevant Memory,3,3.0,5,6,6,4,3,3,5,5,4
184,20,Female,Year 3,Online/network test,Relevant Memory,3,6.667,5,5,4,5,5,5,6,6,6
185,32,Female,Resident,Campus resident session,Relevant Memory,3,5.667,5,5,3,5,4,5,4,4,4
186,19,Male,Year 3,Campus session,Relevant Memory,3,6.333,4,5,6,4,4,3,6,6,6
187,19,Female,Year 2,Online/network test,Relevant Memory,3,6.667,5,3,4,2,3,2,5,5,5
188,19,Female,Year 1,Online/network test,Relevant Memory,3,5.0,5,4,5,4,6,4,5,4,5
189,18,Prefer not to say,Year 3,Campus session,Relevant Memory,3,4.667,6,6,5,4,3,5,3,3,4
190,23,Female,Year 2,Campus session,Relevant Memory,3,5.333,5,6,6,4,2,3,3,3,3
191,20,Male,Year 2,Online/network test,Relevant Memory,3,5.333,5,4,4,5,5,6,5,5,5
192,19,Female,Year 1,Campus session,Relevant Memory,3,6.667,5,3,5,4,6,5,7,6,5
193,20,Female,Year 2,Campus session,Relevant Memory,3,5.0,6,5,7,5,5,4,5,4,3
194,21,Male,Year 3,Campus session,Relevant Memory,3,7.0,6,6,6,5,5,6,6,7,5
195,19,Male,Year 1,Campus session,Relevant Memory,3,6.0,5,4,6,6,6,7,5,6,5
196,44,Female,Resident,Campus resident session,Relevant Memory,3,5.333,4,3,4,6,6,6,5,5,4
197,21,Female,Year 1,Campus session,Relevant Memory,3,6.667,7,6,6,4,4,4,5,4,4
198,19,Male,Year 3,Campus session,Relevant Memory,3,6.0,4,4,5,3,4,4,5,5,5
199,19,Female,Year 1,Online/network test,Relevant Memory,3,4.667,3,3,4,4,4,5,5,5,5
200,25,Female,Resident,Campus resident session,Relevant Memory,3,4.667,4,3,3,4,4,4,5,5,5
201,31,Male,Resident,Campus resident session,Relevant Memory,3,6.0,6,6,5,5,5,5,4,6,4
202,42,Female,Resident,Campus resident session,Relevant Memory,3,4.667,5,5,4,5,6,5,5,6,5
203,20,Female,Year 3,Online/network test,Relevant Memory,3,6.667,4,6,3,4,4,3,5,6,6
204,19,Female,Year 3,Online/network test,Relevant Memory,3,5.333,4,5,5,4,3,4,5,4,6
205,21,Male,Year 3,Online/network test,Relevant Memory,3,6.0,5,6,7,4,5,5,5,5,5
206,21,Male,Year 2,Campus session,Relevant Memory,3,6.0,3,6,5,4,5,5,5,5,6
207,47,Male,Resident,Campus resident session,Relevant Memory,3,6.333,5,5,5,6,6,5,4,6,4
208,19,Female,Year 2,Campus session,Relevant Memory,3,6.333,6,6,7,5,3,4,4,4,5
209,43,Male,Resident,Campus resident session,Relevant Memory,3,6.667,7,7,6,5,6,6,5,4,5
210,21,Male,Year 3,Online/network test,Relevant Memory,3,4.667,4,4,6,6,5,5,4,3,5
211,21,Male,Year 2,Campus session,Relevant Memory,3,6.0,6,5,5,4,5,6,5,5,3
212,20,Male,Year 2,Campus session,Relevant Memory,3,6.0,4,4,4,5,3,5,4,4,4
213,19,Female,Year 3,Campus session,Relevant Memory,3,5.667,5,4,4,4,4,4,6,7,6
214,19,Female,Year 1,Campus session,Relevant Memory,3,4.667,5,6,6,5,5,4,4,5,6
215,41,Male,Resident,Campus resident session,Relevant Memory,3,5.0,4,3,4,6,7,6,6,6,6
216,19,Female,Year 3,Campus session,Relevant Memory,3,6.0,5,5,5,4,5,5,5,5,6
217,21,Female,Year 1,Online/network test,Relevant Memory,3,5.333,6,6,5,7,5,5,5,6,5
218,19,Male,Year 2,Campus session,Relevant Memory,3,6.667,7,7,5,5,5,4,6,5,6
219,20,Female,Year 2,Online/network test,Relevant Memory,3,4.667,3,3,4,5,4,4,4,6,6
220,20,Female,Year 3,Campus session,Relevant Memory,3,5.0,5,5,5,4,4,5,5,5,3
221,18,Female,Year 1,Campus session,Relevant Memory,3,5.333,6,6,5,5,5,4,4,4,3
222,19,Female,Year 1,Online/network test,Relevant Memory,3,5.0,6,6,6,4,4,5,4,5,5
223,19,Male,Year 1,Campus session,Relevant Memory,3,6.0,6,6,6,6,5,5,5,6,5
224,20,Male,Year 3,Online/network test,Relevant Memory,3,4.667,3,4,5,5,5,4,5,4,5
225,39,Female,Resident,Campus resident session,Relevant Memory,3,4.333,4,4,3,3,3,3,5,5,7
226,20,Male,Year 1,Campus session,Relevant Memory,3,5.0,5,4,5,4,6,5,4,5,4
227,19,Female,Year 1,Campus session,Relevant Memory,3,6.667,5,4,5,5,5,5,4,5,4
228,30,Male,Resident,Campus resident session,Relevant Memory,3,4.333,5,5,5,6,6,6,6,6,5
229,20,Female,Year 2,Campus session,Relevant Memory,3,5.333,5,5,4,4,5,5,4,3,2
230,36,Female,Resident,Campus resident session,Relevant Memory,3,6.0,5,6,6,5,4,4,4,1,3
231,20,Male,Year 3,Campus session,Relevant Memory,3,5.333,4,3,3,5,6,6,6,6,6
232,19,Female,Year 1,Campus session,Relevant Memory,3,5.0,5,6,5,2,4,4,7,7,7
233,21,Female,Year 1,Online/network test,Relevant Memory,3,4.667,4,5,5,6,6,6,5,5,5
234,21,Female,Year 1,Campus session,Relevant Memory,3,6.667,5,4,4,4,5,5,7,5,6
235,22,Male,Year 2,Campus session,Relevant Memory,3,6.333,6,6,5,4,4,3,3,4,3
236,38,Male,Resident,Campus resident session,Relevant Memory,3,5.333,7,6,6,5,6,6,4,6,5
237,19,Female,Year 1,Online/network test,Relevant Memory,3,5.0,5,4,4,5,4,6,4,5,4
238,21,Female,Year 1,Campus session,Relevant Memory,3,7.0,4,4,4,2,2,2,4,4,5
239,19,Prefer not to say,Year 1,Online/network test,Relevant Memory,3,6.333,5,3,5,5,4,4,3,4,3
240,19,Female,Year 2,Campus session,Relevant Memory,3,5.667,5,4,5,6,7,6,4,5,4
241,50,Male,Resident,Campus resident session,Relevant Memory,3,5.333,5,4,6,4,2,3,5,5,5
242,21,Male,Year 2,Online/network test,Relevant Memory,3,4.333,6,6,6,4,4,3,5,5,6
243,44,Female,Resident,Campus resident session,Relevant Memory,3,4.667,5,4,4,6,6,6,2,3,3
244,19,Female,Year 1,Campus session,Relevant Memory,3,6.333,6,6,5,5,5,4,4,3,4
245,28,Female,Resident,Campus resident session,Relevant Memory,3,6.667,5,5,7,5,4,4,4,4,4
246,46,Female,Resident,Campus resident session,Relevant Memory,3,3.333,6,4,4,7,7,7,6,6,7
247,38,Female,Resident,Campus resident session,Relevant Memory,3,6.333,3,3,3,7,6,5,4,4,4
248,20,Female,Year 1,Campus session,Relevant Memory,3,5.333,4,5,4,5,5,6,5,5,6
249,19,Male,Year 2,Campus session,Relevant Memory,3,6.333,4,4,4,5,6,5,5,5,5
250,19,Male,Year 3,Campus session,Relevant Memory,3,5.333,5,6,6,5,5,4,5,6,4
251,21,Prefer not to say,Year 1,Online/network test,Relevant Memory,3,5.0,5,4,6,6,5,5,6,5,7
252,21,Female,Year 1,Online/network test,Relevant Memory,3,4.333,5,4,3,6,6,7,5,3,4
253,21,Female,Year 1,Online/network test,Relevant Memory,3,5.0,4,3,4,5,6,5,4,4,4
254,35,Male,Resident,Campus resident session,Relevant Memory,3,4.667,5,6,5,6,5,4,5,7,6
255,46,Male,Resident,Campus resident session,Relevant Memory,3,5.333,4,4,4,4,4,4,7,7,5
256,20,Male,Year 2,Online/network test,Relevant Memory,3,5.0,5,5,4,4,5,5,7,7,7
257,20,Female,Year 2,Campus session,Relevant Memory,3,6.333,6,5,7,3,4,3,5,4,4
258,53,Male,Resident,Campus resident session,Relevant Memory,3,5.667,5,5,5,4,3,3,1,4,3
259,21,Female,Year 2,Online/network test,Relevant Memory,3,5.667,3,4,3,5,6,5,5,6,5
260,49,Male,Resident,Campus resident session,Relevant Memory,3,6.0,4,6,4,5,4,5,5,6,5
261,20,Female,Year 2,Online/network test,Relevant Memory,3,4.667,7,6,6,6,5,5,6,5,5
262,18,Male,Year 3,Campus session,Relevant Memory,3,5.333,6,5,6,5,5,4,6,6,5
263,21,Female,Year 1,Online/network test,Relevant Memory,3,6.333,6,7,5,6,5,4,6,7,7
264,35,Male,Resident,Campus resident session,Relevant Memory,3,5.333,6,6,6,4,4,5,4,4,2
