Participant_ID,Age,Gender,Grade,Testing_Channel,Memory_Type,Memory_Code,MBF,Relational_Warmth,Surveillance_Concern,Trust_Item1,Trust_Item2,Trust_Item3
26,20,Female,Year 1,Online/network test,Intrusive Memory,1,2.0,3.667,4.0,2,5,4
27,39,Male,Resident,Campus resident session,Intrusive Memory,1,2.0,3.667,4.333,1,2,2
28,21,Female,Year 2,Online/network test,Intrusive Memory,1,1.667,2.0,4.333,3,2,3
29,20,Female,Year 3,Online/network test,Intrusive Memory,1,1.667,2.333,4.333,1,1,2
30,22,Female,Year 2,Campus session,Intrusive Memory,1,3.0,3.333,3.0,4,3,3
31,20,Male,Year 1,Campus session,Intrusive Memory,1,2.333,5.0,4.667,2,3,4
32,19,Male,Year 3,Campus session,Intrusive Memory,1,5.0,3.667,4.0,4,4,5
33,18,Female,Year 1,Online/network test,Intrusive Memory,1,1.667,3.667,4.667,2,3,3
34,20,Female,Year 3,Campus session,Intrusive Memory,1,3.0,4.0,4.0,4,3,4
35,20,Male,Year 3,Online/network test,Intrusive Memory,1,2.667,3.0,5.333,2,2,3
36,22,Female,Year 3,Campus session,Intrusive Memory,1,4.667,2.333,2.333,4,4,4
37,20,Female,Year 2,Campus session,Intrusive Memory,1,3.667,4.667,2.667,4,5,4
38,32,Female,Resident,Campus resident session,Intrusive Memory,1,2.333,3.333,4.333,1,2,1
39,20,Female,Year 2,Campus session,Intrusive Memory,1,3.0,4.0,4.0,3,4,4
40,21,Female,Year 3,Online/network test,Intrusive Memory,1,3.667,3.667,4.0,4,3,5
41,21,Male,Year 2,Campus session,Intrusive Memory,1,3.333,3.333,2.333,2,3,1
42,20,Male,Year 2,Campus session,Intrusive Memory,1,3.333,2.0,3.333,4,4,3
43,32,Male,Resident,Campus resident session,Intrusive Memory,1,1.333,5.0,5.333,4,4,4
44,21,Male,Year 3,Campus session,Intrusive Memory,1,4.333,1.333,3.333,5,5,5
45,18,Male,Year 3,Online/network test,Intrusive Memory,1,4.667,3.0,5.667,4,5,3
46,48,Male,Resident,Campus resident session,Intrusive Memory,1,2.667,4.667,5.0,4,4,5
47,19,Female,Year 1,Online/network test,Intrusive Memory,1,3.333,5.0,6.0,3,4,4
48,20,Female,Year 3,Campus session,Intrusive Memory,1,2.667,4.0,4.333,4,2,3
49,19,Female,Year 1,Online/network test,Intrusive Memory,1,2.0,4.0,5.0,3,3,2
50,20,Female,Year 1,Campus session,Intrusive Memory,1,3.333,3.667,4.667,4,4,4
51,20,Male,Year 1,Online/network test,Intrusive Memory,1,3.333,3.667,3.0,2,3,5
52,52,Male,Resident,Campus resident session,Intrusive Memory,1,2.667,4.667,4.333,3,5,5
53,22,Male,Year 3,Online/network test,Intrusive Memory,1,3.0,2.333,4.333,3,5,3
54,41,Female,Resident,Campus resident session,Intrusive Memory,1,3.333,3.0,3.667,4,4,3
55,20,Female,Year 3,Campus session,Intrusive Memory,1,3.667,4.0,4.667,3,5,3
56,20,Female,Year 2,Campus session,Intrusive Memory,1,3.667,5.0,5.333,4,4,4
57,20,Female,Year 3,Online/network test,Intrusive Memory,1,2.333,4.0,5.0,3,3,2
58,49,Female,Resident,Campus resident session,Intrusive Memory,1,3.667,3.0,4.333,5,5,5
59,44,Male,Resident,Campus resident session,Intrusive Memory,1,3.667,4.0,4.333,4,5,4
60,18,Female,Year 2,Campus session,Intrusive Memory,1,1.333,3.333,5.333,2,2,3
61,21,Male,Year 2,Online/network test,Intrusive Memory,1,2.667,2.333,7.0,4,3,4
62,36,Female,Resident,Campus resident session,Intrusive Memory,1,2.333,5.667,4.333,5,6,5
63,23,Male,Year 1,Campus session,Intrusive Memory,1,3.0,3.333,6.667,4,2,4
64,22,Female,Year 2,Online/network test,Intrusive Memory,1,3.0,3.0,4.333,4,4,4
65,20,Male,Year 3,Campus session,Intrusive Memory,1,1.0,1.667,5.0,2,3,1
66,20,Female,Year 3,Campus session,Intrusive Memory,1,3.333,3.667,3.333,3,4,4
67,44,Female,Resident,Campus resident session,Intrusive Memory,1,2.0,4.0,5.0,4,5,4
68,18,Female,Year 2,Online/network test,Intrusive Memory,1,1.333,4.667,5.667,4,4,4
69,54,Female,Resident,Campus resident session,Intrusive Memory,1,4.0,5.0,5.0,6,6,5
70,41,Male,Resident,Campus resident session,Intrusive Memory,1,3.333,3.333,4.0,3,4,4
71,54,Male,Resident,Campus resident session,Intrusive Memory,1,2.333,3.667,4.0,2,3,4
72,19,Male,Year 3,Online/network test,Intrusive Memory,1,4.667,5.667,3.333,6,6,6
73,22,Female,Year 2,Online/network test,Intrusive Memory,1,2.333,3.333,4.333,4,3,4
74,19,Female,Year 1,Campus session,Intrusive Memory,1,3.667,3.333,4.0,3,5,4
75,20,Female,Year 3,Campus session,Intrusive Memory,1,1.333,3.333,5.333,2,3,3
76,22,Female,Year 3,Online/network test,Intrusive Memory,1,5.0,3.667,4.0,6,5,6
77,25,Female,Resident,Campus resident session,Intrusive Memory,1,1.0,3.667,4.0,3,3,3
78,18,Male,Year 3,Campus session,Intrusive Memory,1,4.0,3.0,3.0,3,4,2
79,48,Female,Resident,Campus resident session,Intrusive Memory,1,3.667,4.0,5.333,4,4,5
80,19,Male,Year 1,Online/network test,Intrusive Memory,1,1.0,4.0,5.333,1,1,1
81,42,Male,Resident,Campus resident session,Intrusive Memory,1,2.333,3.333,5.333,5,4,4
82,19,Female,Year 2,Online/network test,Intrusive Memory,1,3.0,2.667,4.667,5,4,5
83,22,Female,Year 2,Campus session,Intrusive Memory,1,3.667,4.0,4.0,2,3,2
84,19,Female,Year 3,Online/network test,Intrusive Memory,1,4.667,4.667,4.667,4,4,5
85,19,Male,Year 3,Online/network test,Intrusive Memory,1,1.667,2.333,4.333,2,2,2
86,39,Female,Resident,Campus resident session,Intrusive Memory,1,1.667,4.333,5.333,3,3,3
87,21,Male,Year 3,Campus session,Intrusive Memory,1,4.0,3.333,2.667,4,4,4
88,19,Female,Year 2,Campus session,Intrusive Memory,1,4.667,4.333,4.0,5,5,5
89,42,Female,Resident,Campus resident session,Intrusive Memory,1,1.667,5.0,5.0,2,3,4
90,18,Female,Year 1,Campus session,Intrusive Memory,1,3.333,3.333,4.0,2,3,2
91,21,Male,Year 1,Online/network test,Intrusive Memory,1,3.667,4.333,5.667,4,3,3
92,26,Female,Resident,Campus resident session,Intrusive Memory,1,3.333,2.667,4.0,6,6,6
93,20,Female,Year 2,Campus session,Intrusive Memory,1,3.333,3.667,4.0,3,3,5
94,20,Female,Year 2,Campus session,Intrusive Memory,1,4.667,5.333,3.667,4,4,4
95,19,Male,Year 3,Online/network test,No Memory,2,2.333,3.667,4.667,4,4,4
96,40,Female,Resident,Campus resident session,No Memory,2,4.667,4.0,4.0,5,3,4
97,20,Female,Year 1,Campus session,No Memory,2,4.0,5.333,3.0,4,4,4
98,42,Male,Resident,Campus resident session,No Memory,2,4.0,4.0,3.0,4,4,4
99,53,Female,Resident,Campus resident session,No Memory,2,5.0,6.333,2.333,5,5,4
100,20,Male,Year 1,Campus session,No Memory,2,1.0,4.667,5.0,1,1,1
101,18,Female,Year 2,Online/network test,No Memory,2,4.667,1.667,2.0,5,5,6
102,21,Male,Year 3,Campus session,No Memory,2,4.333,3.0,3.667,5,4,4
103,37,Male,Resident,Campus resident session,No Memory,2,3.0,3.667,4.0,4,4,3
104,20,Female,Year 3,Online/network test,No Memory,2,4.333,4.0,2.333,6,5,5
105,35,Female,Resident,Campus resident session,No Memory,2,3.333,4.0,2.667,4,3,4
106,20,Male,Year 1,Campus session,No Memory,2,6.0,4.667,2.333,3,4,4
107,21,Male,Year 3,Online/network test,No Memory,2,5.667,5.0,2.333,5,6,6
108,23,Female,Year 2,Campus session,No Memory,2,4.667,3.333,1.667,5,6,7
109,20,Male,Year 3,Online/network test,No Memory,2,3.0,4.0,3.0,4,5,4
110,19,Male,Year 2,Campus session,No Memory,2,3.333,3.667,3.333,4,3,4
111,21,Female,Year 1,Campus session,No Memory,2,3.333,4.333,4.0,2,4,3
112,39,Female,Resident,Campus resident session,No Memory,2,3.667,5.333,3.0,5,4,4
113,18,Female,Year 3,Campus session,No Memory,2,3.0,3.667,4.333,4,4,4
114,20,Female,Year 1,Campus session,No Memory,2,3.0,3.333,5.667,3,4,4
115,19,Female,Year 3,Online/network test,No Memory,2,3.0,3.0,3.0,3,3,3
116,20,Female,Year 2,Campus session,No Memory,2,3.667,4.0,3.667,3,4,3
117,21,Female,Year 3,Campus session,No Memory,2,3.333,4.333,2.333,3,4,5
118,20,Male,Year 1,Campus session,No Memory,2,2.667,2.333,4.0,2,4,2
119,23,Prefer not to say,Year 3,Campus session,No Memory,2,6.0,3.333,4.0,5,5,5
120,21,Female,Year 3,Campus session,No Memory,2,2.667,3.0,3.333,3,4,3
121,20,Male,Year 1,Campus session,No Memory,2,2.667,6.0,4.0,4,4,4
122,19,Male,Year 2,Campus session,No Memory,2,5.0,5.0,2.667,4,4,5
123,20,Female,Year 1,Campus session,No Memory,2,3.667,5.0,3.0,4,4,4
124,19,Female,Year 3,Campus session,No Memory,2,4.333,5.667,2.333,4,4,4
125,20,Male,Year 3,Campus session,No Memory,2,4.333,4.0,4.0,4,5,5
126,21,Female,Year 3,Online/network test,No Memory,2,4.667,3.333,3.333,6,7,5
127,21,Male,Year 1,Campus session,No Memory,2,4.333,5.0,2.0,3,3,4
128,20,Female,Year 2,Online/network test,No Memory,2,2.667,4.0,2.333,5,3,5
129,49,Female,Resident,Campus resident session,No Memory,2,4.667,5.333,3.0,5,5,6
130,21,Female,Year 3,Campus session,No Memory,2,2.333,4.0,3.667,3,4,4
131,18,Female,Year 2,Campus session,No Memory,2,3.667,4.0,4.333,5,5,3
132,21,Female,Year 1,Campus session,No Memory,2,3.333,3.667,2.667,3,3,3
133,18,Female,Year 1,Campus session,No Memory,2,2.667,2.333,3.667,3,3,2
134,21,Female,Year 2,Campus session,No Memory,2,3.667,5.333,2.667,6,6,5
135,21,Female,Year 3,Campus session,No Memory,2,3.333,4.333,4.0,4,5,4
136,23,Female,Year 3,Campus session,No Memory,2,4.0,4.0,4.667,5,4,4
137,45,Female,Resident,Campus resident session,No Memory,2,2.333,4.667,4.667,5,5,5
138,20,Male,Year 2,Online/network test,No Memory,2,4.0,7.0,2.0,3,3,3
139,18,Female,Year 3,Campus session,No Memory,2,5.0,5.0,4.0,6,7,7
140,19,Male,Year 2,Campus session,No Memory,2,4.0,3.333,2.667,3,5,4
141,37,Male,Resident,Campus resident session,No Memory,2,2.667,3.667,3.0,2,3,2
142,19,Female,Year 3,Online/network test,No Memory,2,4.0,4.333,3.0,4,3,4
143,22,Male,Year 2,Online/network test,No Memory,2,2.333,2.333,2.667,4,4,4
144,18,Male,Year 1,Online/network test,No Memory,2,1.667,5.333,3.667,2,3,2
145,18,Male,Year 2,Campus session,No Memory,2,6.333,4.333,3.667,5,5,5
146,21,Male,Year 2,Campus session,No Memory,2,4.667,4.333,3.0,4,5,6
147,46,Female,Resident,Campus resident session,No Memory,2,5.333,5.333,1.667,5,5,4
148,18,Male,Year 1,Campus session,No Memory,2,3.0,4.333,3.333,4,3,3
149,19,Female,Year 1,Online/network test,No Memory,2,4.0,5.333,3.667,4,5,5
150,21,Female,Year 1,Online/network test,No Memory,2,5.0,3.667,2.0,5,4,5
151,22,Male,Year 2,Online/network test,No Memory,2,4.0,4.0,3.667,4,4,4
152,42,Female,Resident,Campus resident session,No Memory,2,4.0,5.0,2.667,6,5,6
153,21,Female,Year 1,Campus session,No Memory,2,4.0,5.667,3.667,4,5,4
154,48,Male,Resident,Campus resident session,No Memory,2,2.0,3.667,6.0,4,3,2
155,21,Female,Year 1,Online/network test,No Memory,2,4.333,5.0,3.0,5,4,3
156,36,Male,Resident,Campus resident session,No Memory,2,3.667,4.333,3.667,4,4,4
157,39,Female,Resident,Campus resident session,No Memory,2,4.333,3.333,2.667,6,7,7
158,20,Female,Year 3,Online/network test,No Memory,2,3.333,2.0,2.667,3,3,2
159,38,Male,Resident,Campus resident session,No Memory,2,5.0,4.333,3.667,6,5,5
160,29,Male,Resident,Campus resident session,No Memory,2,3.0,5.0,3.0,4,4,4
161,18,Male,Year 2,Campus session,No Memory,2,3.0,5.0,4.333,5,6,5
162,18,Female,Year 3,Campus session,No Memory,2,4.667,5.0,2.0,4,4,4
163,21,Female,Year 2,Online/network test,No Memory,2,3.333,4.667,3.0,3,3,3
164,44,Male,Resident,Campus resident session,No Memory,2,2.667,5.667,3.667,4,4,5
165,20,Female,Year 1,Campus session,No Memory,2,3.667,4.0,3.333,3,6,6
166,21,Female,Year 3,Online/network test,No Memory,2,5.0,4.333,3.333,5,6,5
167,21,Male,Year 1,Online/network test,No Memory,2,3.667,3.667,3.667,5,4,5
168,19,Female,Year 2,Online/network test,No Memory,2,3.667,4.0,2.667,3,5,3
169,18,Female,Year 3,Campus session,No Memory,2,7.0,4.333,2.667,6,7,6
170,19,Male,Year 2,Campus session,No Memory,2,3.667,3.667,4.333,4,4,5
171,20,Female,Year 2,Online/network test,No Memory,2,4.667,5.333,4.0,5,4,5
172,20,Female,Year 1,Online/network test,No Memory,2,2.0,2.667,4.667,5,4,3
173,21,Female,Year 2,Campus session,No Memory,2,4.0,5.667,3.667,4,2,3
174,20,Female,Year 3,Online/network test,No Memory,2,5.667,4.333,4.0,3,3,3
175,44,Female,Resident,Campus resident session,No Memory,2,3.0,5.333,3.333,4,3,3
176,20,Male,Year 1,Campus session,No Memory,2,2.667,5.0,4.0,3,3,4
177,19,Female,Year 3,Campus session,No Memory,2,3.667,3.333,3.667,3,3,4
178,19,Male,Year 1,Online/network test,No Memory,2,3.333,5.0,3.667,4,3,4
179,21,Female,Year 3,Campus session,No Memory,2,3.0,5.333,2.667,4,3,4
180,19,Male,Year 2,Campus session,No Memory,2,5.333,5.333,3.667,5,4,4
181,23,Female,Year 2,Campus session,No Memory,2,6.0,6.0,3.333,4,5,5
182,18,Female,Year 2,Online/network test,No Memory,2,3.667,3.0,2.667,6,5,4
183,22,Male,Year 2,Campus session,No Memory,2,3.0,4.333,1.333,3,4,3
184,19,Male,Year 2,Campus session,No Memory,2,4.333,2.667,2.667,5,5,5
185,22,Male,Year 1,Online/network test,No Memory,2,4.0,5.0,4.333,5,4,5
186,43,Male,Resident,Campus resident session,No Memory,2,4.0,4.0,3.0,5,5,5
187,21,Male,Year 1,Campus session,No Memory,2,2.667,5.0,4.667,5,6,6
188,21,Female,Year 2,Campus session,No Memory,2,3.0,3.0,4.667,2,3,3
189,20,Male,Year 2,Campus session,No Memory,2,3.333,6.333,4.0,5,4,5
190,21,Female,Year 2,Campus session,No Memory,2,3.667,4.0,2.0,4,4,4
191,19,Female,Year 2,Campus session,Relevant Memory,3,6.0,3.667,1.333,6,6,6
192,40,Male,Resident,Campus resident session,Relevant Memory,3,5.667,6.0,1.333,5,5,4
193,30,Female,Resident,Campus resident session,Relevant Memory,3,2.667,6.333,2.667,3,2,3
194,18,Male,Year 1,Online/network test,Relevant Memory,3,3.333,4.667,2.333,3,4,4
195,20,Female,Year 2,Campus session,Relevant Memory,3,4.0,6.0,3.667,3,2,3
196,18,Female,Year 1,Campus session,Relevant Memory,3,6.333,5.0,2.0,6,3,5
197,38,Female,Resident,Campus resident session,Relevant Memory,3,5.0,4.333,4.333,7,6,6
198,19,Female,Year 2,Campus session,Relevant Memory,3,6.0,6.0,1.0,6,6,7
199,21,Female,Year 3,Campus session,Relevant Memory,3,5.333,5.0,3.667,6,7,5
200,39,Male,Resident,Campus resident session,Relevant Memory,3,4.333,5.0,2.333,4,5,4
201,19,Female,Year 3,Campus session,Relevant Memory,3,4.0,4.667,2.667,4,5,5
202,21,Female,Year 3,Online/network test,Relevant Memory,3,3.667,6.0,2.0,5,4,3
203,22,Female,Year 2,Campus session,Relevant Memory,3,4.0,4.333,1.333,2,2,3
204,35,Male,Resident,Campus resident session,Relevant Memory,3,5.667,4.333,3.333,4,5,4
205,23,Male,Year 2,Campus session,Relevant Memory,3,5.667,5.667,2.333,4,4,5
206,18,Female,Year 2,Online/network test,Relevant Memory,3,3.667,4.667,2.667,4,4,4
207,40,Male,Resident,Campus resident session,Relevant Memory,3,5.333,4.333,1.667,7,6,5
208,22,Female,Year 3,Campus session,Relevant Memory,3,4.333,4.0,3.333,5,6,4
209,19,Female,Year 1,Online/network test,Relevant Memory,3,4.667,4.0,3.0,4,4,5
210,20,Female,Year 2,Campus session,Relevant Memory,3,4.667,4.667,1.0,4,3,4
211,46,Female,Resident,Campus resident session,Relevant Memory,3,3.667,5.0,2.0,4,5,4
212,21,Male,Year 3,Campus session,Relevant Memory,3,4.667,4.667,2.0,5,5,6
213,18,Male,Year 2,Campus session,Relevant Memory,3,4.667,4.0,2.0,6,6,4
214,21,Female,Year 1,Campus session,Relevant Memory,3,3.667,4.667,2.0,4,4,4
215,22,Female,Year 1,Campus session,Relevant Memory,3,4.333,5.667,2.667,5,6,6
216,20,Male,Year 1,Campus session,Relevant Memory,3,5.0,5.0,2.667,4,5,4
217,21,Male,Year 2,Campus session,Relevant Memory,3,4.333,5.333,1.667,4,4,4
218,22,Female,Year 2,Online/network test,Relevant Memory,3,4.667,4.667,2.667,5,5,4
219,20,Female,Year 3,Campus session,Relevant Memory,3,6.333,5.667,2.333,5,6,4
220,22,Female,Year 2,Campus session,Relevant Memory,3,4.667,4.333,3.333,4,3,5
221,20,Female,Year 3,Campus session,Relevant Memory,3,3.333,5.0,2.667,5,5,6
222,20,Female,Year 3,Campus session,Relevant Memory,3,6.333,5.333,2.333,6,5,7
223,57,Male,Resident,Campus resident session,Relevant Memory,3,4.333,4.667,2.667,4,4,3
224,20,Male,Year 3,Online/network test,Relevant Memory,3,3.667,6.333,4.667,4,3,4
225,42,Male,Resident,Campus resident session,Relevant Memory,3,4.333,4.667,3.333,5,6,4
226,21,Female,Year 1,Campus session,Relevant Memory,3,3.333,4.333,3.667,4,3,4
227,44,Female,Resident,Campus resident session,Relevant Memory,3,5.667,5.0,1.0,3,4,4
228,41,Female,Resident,Campus resident session,Relevant Memory,3,5.0,5.0,1.667,7,6,6
229,19,Female,Year 1,Campus session,Relevant Memory,3,5.333,5.0,3.667,4,3,3
230,21,Female,Year 2,Campus session,Relevant Memory,3,4.667,4.333,1.333,3,4,5
231,26,Male,Resident,Campus resident session,Relevant Memory,3,5.0,7.0,2.667,4,3,2
232,41,Female,Resident,Campus resident session,Relevant Memory,3,5.667,5.667,3.667,3,3,4
233,20,Male,Year 3,Campus session,Relevant Memory,3,4.667,4.0,2.333,6,4,5
234,21,Female,Year 3,Campus session,Relevant Memory,3,3.333,3.333,2.667,3,3,3
235,22,Female,Year 3,Campus session,Relevant Memory,3,4.333,4.0,2.667,5,5,5
236,20,Female,Year 1,Campus session,Relevant Memory,3,5.667,6.0,2.0,5,4,4
237,19,Female,Year 1,Online/network test,Relevant Memory,3,2.333,5.333,2.0,2,4,4
238,20,Female,Year 2,Online/network test,Relevant Memory,3,6.333,5.0,1.667,6,6,5
239,41,Female,Resident,Campus resident session,Relevant Memory,3,2.0,4.333,3.667,4,2,4
240,22,Male,Year 3,Campus session,Relevant Memory,3,5.0,4.667,2.333,6,6,7
241,20,Male,Year 3,Campus session,Relevant Memory,3,3.0,5.0,4.333,3,3,4
242,18,Female,Year 2,Online/network test,Relevant Memory,3,2.667,5.0,2.667,3,3,2
243,19,Male,Year 2,Online/network test,Relevant Memory,3,4.667,5.0,3.0,6,5,4
244,22,Male,Year 2,Campus session,Relevant Memory,3,4.667,5.667,2.667,4,5,4
245,19,Female,Year 2,Online/network test,Relevant Memory,3,4.0,4.667,2.333,4,4,3
246,63,Female,Resident,Campus resident session,Relevant Memory,3,5.0,5.0,3.0,4,4,3
247,40,Female,Resident,Campus resident session,Relevant Memory,3,3.667,5.0,1.667,5,5,4
248,19,Female,Year 3,Campus session,Relevant Memory,3,5.667,5.333,2.667,2,3,4
249,44,Female,Resident,Campus resident session,Relevant Memory,3,4.667,6.333,3.667,2,4,3
250,20,Female,Year 2,Campus session,Relevant Memory,3,4.333,5.333,2.0,5,5,5
251,42,Male,Resident,Campus resident session,Relevant Memory,3,4.0,4.333,2.667,3,4,3
252,19,Male,Year 2,Campus session,Relevant Memory,3,5.0,4.667,1.0,7,6,6
253,21,Female,Year 3,Campus session,Relevant Memory,3,5.333,5.0,1.667,6,5,5
254,32,Male,Resident,Campus resident session,Relevant Memory,3,5.0,6.0,3.667,6,5,5
255,18,Female,Year 3,Campus session,Relevant Memory,3,2.0,5.0,3.667,5,6,6
256,19,Female,Year 2,Campus session,Relevant Memory,3,5.333,5.667,3.667,6,6,6
257,51,Male,Resident,Campus resident session,Relevant Memory,3,5.333,5.0,2.667,4,5,4
258,47,Female,Resident,Campus resident session,Relevant Memory,3,4.333,6.667,1.333,4,4,3
259,48,Female,Resident,Campus resident session,Relevant Memory,3,5.333,6.333,3.333,4,5,5
260,18,Female,Year 2,Campus session,Relevant Memory,3,6.667,6.0,2.333,5,4,3
261,21,Male,Year 1,Online/network test,Relevant Memory,3,3.667,4.667,3.667,4,5,5
262,19,Prefer not to say,Year 3,Campus session,Relevant Memory,3,5.667,5.0,3.667,5,5,5
263,18,Male,Year 3,Campus session,Relevant Memory,3,4.333,5.333,3.0,3,4,5
264,20,Female,Year 3,Campus session,Relevant Memory,3,4.0,5.0,1.667,5,6,5
265,20,Male,Year 2,Online/network test,Relevant Memory,3,4.667,6.0,3.0,4,4,3
266,18,Female,Year 2,Online/network test,Relevant Memory,3,3.0,3.333,4.333,3,3,3
267,21,Female,Year 2,Online/network test,Relevant Memory,3,4.667,4.0,3.0,4,4,3
268,20,Male,Year 2,Campus session,Relevant Memory,3,3.667,4.333,3.333,4,5,3
269,34,Male,Resident,Campus resident session,Relevant Memory,3,4.0,4.0,2.0,6,5,4
270,21,Female,Year 3,Online/network test,Relevant Memory,3,3.667,4.667,1.667,6,6,6
271,53,Male,Resident,Campus resident session,Relevant Memory,3,3.0,3.667,3.0,4,4,4
272,19,Female,Year 3,Campus session,Relevant Memory,3,4.0,4.0,2.667,5,5,5
273,21,Female,Year 1,Campus session,Relevant Memory,3,4.0,3.667,3.0,5,5,5
274,22,Female,Year 1,Campus session,Relevant Memory,3,4.0,5.333,2.333,4,5,4
275,29,Male,Resident,Campus resident session,Relevant Memory,3,4.333,4.333,3.0,5,5,5
276,46,Prefer not to say,Resident,Campus resident session,Relevant Memory,3,4.667,5.333,2.0,4,3,4
277,22,Male,Year 2,Campus session,Relevant Memory,3,6.667,5.667,2.333,5,5,5
278,21,Male,Year 2,Online/network test,Relevant Memory,3,6.0,5.667,1.333,7,7,7
279,59,Male,Resident,Campus resident session,Relevant Memory,3,5.0,4.333,1.333,5,5,6
280,35,Female,Resident,Campus resident session,Relevant Memory,3,3.667,3.333,1.667,5,4,4
281,21,Male,Year 2,Campus session,Relevant Memory,3,5.667,6.0,2.0,4,4,4
282,21,Female,Year 2,Online/network test,Relevant Memory,3,3.333,5.0,4.0,3,5,4
283,19,Male,Year 2,Campus session,Relevant Memory,3,3.0,6.333,1.333,4,5,5
284,20,Female,Year 3,Campus session,Relevant Memory,3,4.667,4.667,1.667,5,4,4
285,18,Prefer not to say,Year 1,Campus session,Relevant Memory,3,5.0,5.333,1.333,3,5,5
286,22,Male,Year 3,Campus session,Relevant Memory,3,5.0,4.667,1.0,5,4,5
287,21,Male,Year 2,Campus session,Relevant Memory,3,4.667,5.0,2.0,5,5,5
288,21,Female,Year 3,Online/network test,Relevant Memory,3,2.667,5.333,3.333,4,4,3
289,19,Female,Year 2,Campus session,Relevant Memory,3,3.667,4.667,3.0,7,5,6
